Gene	Score
PDCD2L	0.35494117799999997
ACLY	0.353762411
TAF1D	0.353217615
SURF6	0.35288674
RG9MTD1	0.352540251
GRWD1	0.351199551
DDX54	0.35104309999999994
DHODH	0.35047489600000004
RRP1B	0.349220433
ARMC6	0.34891875899999997
HRH2	0.34887594899999996
E2F4	0.348409066
EIF3D	0.34839920799999996
MRPL10	0.348209757
DUS2L	0.348057876
MRPS7	0.34800113200000005
GNB3	0.34776459200000004
AATK	0.347578227
APRT	0.347295621
LPPR5	0.34708918200000005
ARHGEF25	0.34682167399999997
PDSS1	0.34640205700000004
DKC1	0.346293756
TRMT61A	0.34595228899999997
RPUSD2	0.345852005
TEAD4	0.34540713100000003
SLC5A5	0.345010775
CMTM7	0.34486451799999995
NOC4L	0.34451277
PCCB	0.344470819
RNF126	0.344436821
DDX18	0.34422276799999996
PARVB	0.343657735
GART	0.343381208
EEF2	0.343241663
HGS	0.34316060299999995
RNMTL1	0.342926995
POLR1C	0.34261267
SLC25A19	0.342562594
RPS24	0.34218988
SLC38A5	0.34173211200000003
LARP1	0.341654676
NPM3	0.34088928799999996
SLC35F2	0.34070651
RCL1	0.34067577299999996
TOMM34	0.34057056799999996
ZNF296	0.340378581
GABRB1	0.34002119299999994
TFAP4	0.34000488700000003
PHB	0.338982281
GAL	0.337775027
ANGPTL2	0.33690399200000004
FAM195A	0.33680654600000004
DAP3	0.336497827
C7orf23	0.33641516899999996
TOMM22	0.335440545
MRPL30	0.335106387
RPL14	0.335064818
PPARGC1B	0.335044778
EPB41L4A-AS1	0.334850296
CSDA	0.334721314
MATK	0.334329747
LOC388796	0.334014827
BZW2	0.333748145
OXA1L	0.33357585
CTRL	0.333415866
UFSP1	0.332815353
SPATA5L1	0.332741623
POLDIP2	0.332635678
PLCB2	0.332569471
GRIN1	0.33228271600000003
RBM19	0.332041285
NPW	0.331852149
C2orf85	0.331629848
ACTL8	0.331136641
CDC123	0.331080804
SFXN4	0.330677276
EIF3J	0.330226564
HEATR2	0.32963827
USP36	0.32934088300000003
SLC4A1	0.329323136
NOP2	0.329012531
PNPLA3	0.328823504
RPL31	0.328679899
MON1A	0.3281394
GUCA1C	0.327940813
METAP1	0.327759762
PELP1	0.327674154
NME1	0.327389025
POLR1A	0.32731637199999997
METTL8	0.327187981
DDX56	0.326992628
HPDL	0.326979068
FTSJ3	0.326773494
PFDN6	0.326482536
KAT2A	0.326134078
IMP3	0.326018138
CAMKK1	0.325960273
C17orf96	0.325739131
CAD	0.32568829
UBIAD1	0.325633754
TIMM50	0.325562621
YDJC	0.325223637
SELRC1	0.324706577
ALDH1B1	0.324675422
EXOSC5	0.323735029
INO80	0.323214083
MRPS23	0.323039785
PRMT1	0.32291496
MRPS12	0.322851609
DHX33	0.3224385
SLC17A7	0.322153782
CARD9	0.321738701
TRABD	0.321227141
UTP6	0.320799031
PDE4A	0.320760695
TOMM70A	0.320062282
CHCHD4	0.320019654
FKBP11	0.319943011
OLIG2	0.319940505
SLC27A1	0.319643744
PROCR	0.319585361
SLN	0.319505926
AIPL1	0.31949681399999996
MTIF2	0.319489035
NRP2	0.319232024
FLJ10661	0.319017467
TULP1	0.31886620000000004
PWP1	0.318559665
POLR3E	0.31827132199999997
KIAA1274	0.318148021
POLR2F	0.318056142
MDH2	0.317894565
LOC100288413	0.31784582
GPI	0.317836527
NKRF	0.317560372
CDK7	0.31746037899999996
DNAJC7	0.31729179999999996
LPAR3	0.317207895
CDV3	0.317162025
SH2D2A	0.31704829100000004
RPL11	0.316964653
SNORA68	0.31652214300000003
ASB13	0.31616526899999997
TARS2	0.316017489
PTRH1	0.31566131399999997
RRP1	0.315418696
TMCO6	0.31442944300000003
PRDM8	0.314112507
PWP2	0.313959064
PDZD3	0.313805634
GUCY2D	0.313590092
IL12A	0.31355942800000003
TRAF3	0.313457812
G3BP1	0.313250313
LYPD4	0.313228245
PPRC1	0.31319337399999997
ST6GALNAC4	0.313121075
TXNL4B	0.31310014199999997
SLC6A15	0.31308747600000003
POLG2	0.31290065
PSMD12	0.31275614399999996
YARS2	0.312608674
KLHL21	0.312576366
C3orf54	0.312022383
ZNRD1	0.312011097
ZNF581	0.311654023
ZYX	0.31148438
PNP	0.31142606
ZNF282	0.31131859
DDX28	0.310297088
PITX3	0.31019065
PSME3	0.310170682
GPATCH4	0.309854174
RPL37A	0.30956379100000003
EXOSC4	0.309260197
SCO1	0.308974965
MAPKAPK3	0.30897162899999997
AQP6	0.308796788
RBP3	0.308771488
SKIV2L2	0.308769216
SOLH	0.30865574100000004
RNF7	0.308300109
TTLL4	0.308249101
CLNS1A	0.308140555
THG1L	0.30791477300000003
FEZF2	0.307779333
SF3B3	0.30750945399999996
COL27A1	0.306846499
EPB41L2	0.306511687
MRPL44	0.306434563
NUP37	0.30636239600000004
CLPB	0.306300394
FOXN1	0.306259041
PNMT	0.306214206
HSPA4	0.305852038
RHBDF2	0.305756356
MRTO4	0.305707545
LIAS	0.305684434
RPA4	0.305466107
TMCO7	0.304699605
QTRTD1	0.304473242
MAP4	0.304461954
ELAC2	0.304093355
CDK5RAP1	0.30403059
VARS	0.303773957
MRPS18B	0.30351179100000003
AK4	0.303330852
TTC27	0.303203209
RIN1	0.30305914
DSG2	0.302942177
TAMM41	0.302912638
LSM11	0.302803962
MRPL45	0.302775704
CCT4	0.30271451899999996
WARS2	0.302351333
XPO6	0.302184025
TFAM	0.301798501
TSEN2	0.301777299
ADORA2B	0.301759386
SLC25A22	0.301524335
MPI	0.301236459
PSMG4	0.300928368
TACO1	0.300887216
AIF1	0.300771069
FBXL19-AS1	0.300583141
ETF1	0.300582526
NHP2	0.300514926
ANKRD34A	0.300512365
GAR1	0.300301663
RGS19	0.300083021
RPL13AP17	0.300031132
C6orf108	0.29990992899999996
FBXO31	0.299836637
HADHA	0.299726488
KCNJ3	0.29943536
XPO5	0.299241029
ZFP64	0.299118958
GIT1	0.29886776600000003
IGF2BP2	0.298800471
C12orf10	0.29850808
EDA	0.298400942
DDX31	0.29829848
FARSB	0.298158866
SNORA74A	0.29805273
PIGL	0.298045827
RPAP1	0.298020875
PLXNA1	0.297867742
TUBGCP4	0.297561888
AMD1	0.297452295
POLR1E	0.297410452
TFB2M	0.297062691
EMG1	0.296736579
CTSC	0.296728607
SLC25A39	0.296291115
FOXL1	0.296107898
IPO4	0.296021467
TMEM101	0.296019072
C12orf52	0.295977897
CD3EAP	0.295718989
RRP7A	0.29569518300000003
ANO7	0.29565728199999997
UCK2	0.295454005
MXI1	0.29536336
CCDC85B	0.295235026
MIIP	0.295122363
LOC388906	0.295099021
LRRC59	0.295038177
GEMIN6	0.29501246600000003
NFS1	0.294898934
POLD2	0.29418326699999997
METTL12	0.29392532
TNPO3	0.293906402
TCEB3	0.293843203
PSMD3	0.293698282
GNPDA1	0.293635932
AAMP	0.293589371
GLT25D1	0.29353525
OGFOD1	0.293529066
IFFO2	0.293409248
PFDN2	0.293390165
P2RY1	0.293332002
ANKRD27	0.29280981100000003
SDHB	0.292748833
TNNC2	0.29255998899999996
FLYWCH1	0.29241098
FARSA	0.29239595399999996
HES7	0.292025101
KCNQ5	0.291798782
TRAF7	0.291706967
NOC3L	0.291694498
PPM1N	0.291404522
THOP1	0.291181133
MTRR	0.291003498
ARMC10	0.29090486600000004
TKT	0.29080258600000003
ABCF3	0.290602474
DHX35	0.290534434
TMEM120B	0.290277341
NHP2L1	0.290130005
SSR3	0.289899864
GCGR	0.289467582
DIAPH2	0.289414503
ERAL1	0.289258576
RPP40	0.289252071
LAMC3	0.289201263
SNRPA	0.288911999
PAICS	0.288868167
HAGHL	0.288759473
CLDN19	0.288549043
TYW3	0.288372175
MRPL38	0.288322178
TMEM174	0.288207908
PSMB3	0.288038427
MRPL2	0.287507972
TSPAN18	0.287107942
C20orf166	0.286995661
BAZ2A	0.286975311
NME4	0.28673508
CWC27	0.286637217
ESR2	0.286636405
FAM162A	0.286375778
SLC5A11	0.286335123
PRMT5	0.286251888
AIFM1	0.286067584
NPAS1	0.286059561
RPS14	0.286034384
SRP68	0.285993114
MKI67IP	0.285936498
SCARNA2	0.285824244
GJD2	0.285801465
CISD3	0.285514062
CSTF2	0.285221445
SLC22A8	0.28501382399999997
FASN	0.284931892
ATP13A1	0.284841413
NOP56	0.284308503
RPL39L	0.28418373199999997
COPS2	0.28410141899999997
DFFA	0.284095046
TIMM44	0.28406878
WDR5	0.283862359
SLC39A14	0.283737107
RNF149	0.283625616
C20orf27	0.283566678
ANKRD57	0.283520139
C9orf50	0.283468255
DCTPP1	0.283435393
STEAP3	0.283176527
PRPF8	0.28308449
NLGN2	0.282946903
SLC5A6	0.282843423
CDC37	0.282794789
MECR	0.282762836
PRAMEF11	0.28265234699999997
CLVS1	0.282621855
CCDC137	0.28255511699999997
BSG	0.282486954
NOL6	0.282453369
TTYH2	0.282304577
ZNHIT1	0.28230087800000003
ARR3	0.28226655300000003
WDR75	0.28217369800000003
TSSK3	0.282027119
ABHD14B	0.281724617
NEUROD4	0.281024279
WDR18	0.280969433
SUN5	0.28090426
FXN	0.28075484100000003
KCNQ4	0.280581125
UBE2CBP	0.280509595
CD27	0.280371313
GSX2	0.280342539
EPHA8	0.280321817
MLXIPL	0.280282046
LPCAT4	0.280228293
TSPAN32	0.279898458
ATP5B	0.279779419
TLCD1	0.279548753
SSBP1	0.279451292
MAX	0.27944794300000003
THOC5	0.278937764
SLC17A9	0.278878666
RIMS4	0.27878879100000004
ATAD3A	0.278771933
RBM27	0.278562129
AK2	0.278476277
CDX1	0.27834962
PTCD2	0.27828947600000004
LYRM4	0.27822288300000003
RPL3	0.278153559
MRPS35	0.278147549
SLC25A26	0.278094994
ANKRD33B	0.277987714
DSCR4	0.27796016100000004
C12orf24	0.277851257
LOC151484	0.277680177
MOS	0.277290269
AVL9	0.277259319
RPRML	0.277044938
MIP	0.27693593699999997
GADD45GIP1	0.276762088
CCND2	0.276696713
BMS1	0.276583869
ATAD3B	0.276563932
NAT9	0.276450295
EIF3G	0.27642915100000004
B3GALNT2	0.276412691
PHF15	0.276338815
WDR81	0.276284572
QTRT1	0.27622562100000003
AFMID	0.276193768
AIRE	0.275542329
NOP10	0.275478809
PTPN14	0.27534219
CA7	0.275285771
DDX51	0.275118091
AXIN1	0.274832182
PGK2	0.27477122800000003
CACNG1	0.274751913
POLR2H	0.27462012199999997
PRRT1	0.27425799100000003
CPOX	0.274242678
C16orf13	0.27420827
NUP205	0.274203901
EEF2K	0.274060006
PRELID1	0.27399818800000003
ADCYAP1R1	0.27382364600000003
PRDM11	0.273799392
RS1	0.27365490800000003
SLC16A1	0.273642928
UMPS	0.273421777
RPUSD3	0.273385103
PRR22	0.273377778
SMYD5	0.273191969
EIF3A	0.273102097
ADCK3	0.272957418
MLKL	0.272765539
ALDH18A1	0.272711097
SNHG8	0.27253289
AEN	0.272463637
MMS19	0.272405253
ABCB7	0.272321852
NDUFA10	0.27212810800000004
NCS1	0.271948968
HBM	0.27184827100000003
ADCY7	0.271843605
DUSP2	0.27172625300000003
UTP15	0.271507865
RASL10B	0.271466776
EIF6	0.271353547
C17orf51	0.271323978
FITM2	0.27129927600000003
CACNG5	0.27129759800000003
DHRS11	0.271218783
SFT2D1	0.27116487100000003
PREX2	0.27113577699999997
NOL9	0.271062126
ADAD2	0.27083123
PODN	0.270552594
PITX1	0.270487804
GDPD2	0.270231218
CABP2	0.270184396
TNFRSF8	0.270071495
GABRA5	0.270067349
RPP25	0.270046871
STAC	0.26962637899999997
ATG7	0.269432907
GPD1L	0.26934615100000003
EVX1	0.269286236
MMD2	0.269154067
ICT1	0.269143581
EIF5B	0.269079513
SNHG7	0.26857761199999997
KHSRP	0.26821184600000003
NCOR2	0.26820489
EIF3I	0.268156913
MRPS10	0.26802551
CELA2B	0.267896602
MRPS34	0.267690253
SUSD3	0.267685491
ADORA3	0.267620511
LOC100505986	0.267571033
OTX2OS1	0.267494837
DDOST	0.267448281
IL17RE	0.267198347
GTPBP3	0.26718224399999996
LOC100506319	0.267147357
LARS	0.267069783
LSP1	0.267044789
RNF126P1	0.26685734899999997
PLD6	0.266257387
FOXK1	0.266198506
TNPO1	0.26617519300000003
C1orf170	0.26617331899999996
PRKAR2A	0.266024373
STEAP1	0.266001962
BTF3	0.26579694600000003
C15orf39	0.265653352
CRX	0.265509769
METTL21B	0.265416404
ALDOA	0.26525639300000003
METTL1	0.265228898
SHMT2	0.26516970300000003
CUL1	0.26516883399999996
ST6GALNAC6	0.26511891
DUSP9	0.264906392
PTDSS1	0.26484996
MRPL14	0.26480021800000003
NFE2L3	0.264690933
DDX55	0.264639563
CSNK1G2	0.264558915
GHRLOS	0.264389374
LOC644714	0.264318685
CCDC124	0.26431198300000003
SLC25A37	0.264278306
COPS6	0.264238428
C3orf56	0.2641662
GPN2	0.263899968
AQR	0.263546822
AGAP3	0.263453765
PRSS21	0.26339918100000004
COX4I2	0.263398411
STOML2	0.263304029
RCOR2	0.263272276
NOL8	0.26325137
PIEZO1	0.262864461
SCD	0.262858765
PCOLCE2	0.262857192
ZCCHC9	0.262638942
ALPL	0.262485709
ADPGK	0.26234704
SLC25A43	0.262325656
TIMM8A	0.262297253
POU3F1	0.26208723
RRS1	0.262072668
HPRT1	0.262066302
PVRL1	0.261838215
MRPS18A	0.261775713
PM20D1	0.261634197
PRR7	0.261627987
RPUSD4	0.261625142
FAM123B	0.26156977800000003
WDR77	0.26154483
SLC25A5	0.261405858
SUPT3H	0.261360742
RILPL2	0.2611748
GCN1L1	0.261170813
PKM2	0.260991918
OPRL1	0.260789415
DCDC2B	0.260716303
FAM82A2	0.26061885
NOP58	0.260341432
C7orf11	0.260316471
ORC5	0.260106188
FBXL19	0.260083415
LOC100506392	0.259932022
MOGS	0.259798447
GDEP	0.259741565
LOC100652861	0.259602519
GUCA1A	0.259552035
RNF123	0.259549765
LOC100506997	0.259541019
SCO2	0.25936151399999996
GNG12	0.25924915
AP1S1	0.25919902300000003
MTA1	0.259185441
MOCS3	0.259114883
DUS4L	0.25881705
CRYBG3	0.258789963
TRAV26-2	0.258778736
ABHD16B	0.258590867
TARBP2	0.258114994
FBXW9	0.258019455
KCNN1	0.257969077
C17orf82	0.257932245
SNAI1	0.25786976
MAPKAP1	0.257841245
ABI3	0.25756520899999996
APOC1	0.25738969300000003
MYH7	0.25738744399999997
METTL17	0.25722580100000003
C4orf14	0.257222333
SSSCA1	0.257183378
KCNQ1DN	0.257148814
PDP2	0.25705272
ZNF259	0.256828355
DVL1	0.256655117
ARHGAP22	0.256653085
RPL22	0.25658862600000004
LIM2	0.256581148
CCDC78	0.256540398
C19orf53	0.25644528
CHP2	0.256366722
ADCY3	0.256323902
EHD4	0.256318272
MLIP	0.256199368
GRIN2D	0.25584812100000004
DDX49	0.255796643
EIF2D	0.255722742
RAP2B	0.255719021
BBX	0.25564182399999996
HDDC2	0.255620316
MAK16	0.255553898
HK3	0.255549795
UCHL5	0.255522102
MARCO	0.255471073
CACNA1F	0.255328424
DNPEP	0.255265656
SUPV3L1	0.255180892
SSTR3	0.25515689399999997
RBP5	0.25515063
NTNG2	0.25511558100000004
LOC339442	0.254879404
SNRPF	0.254806672
ZNF556	0.25475023
ENO1	0.254746525
TRIP13	0.254645976
C2orf89	0.254612066
TIMMDC1	0.254373672
SLC4A7	0.254330848
CDCA7L	0.254283805
LOC286442	0.254018967
C2orf47	0.253983974
DUS3L	0.253893685
MCM7	0.253649513
LOC100507584	0.253625456
CNTN1	0.253607829
ANKS6	0.253586868
EXOSC6	0.253580563
GOT2	0.253447317
PPA1	0.253172299
JAGN1	0.253043801
TP53RK	0.253021479
CCT2	0.252945323
C19orf29	0.2528625
ELOVL6	0.252857605
MAPK12	0.25272259199999997
MKS1	0.252639638
PRELP	0.252621417
REXO4	0.252329806
RIOK2	0.252300735
RBFOX3	0.252218156
CRYBB3	0.252210147
MPP6	0.25202292
XPO4	0.251942585
FAH	0.251835576
NDUFAF1	0.251773823
BRS3	0.25167726100000004
PYGL	0.25167003600000004
TELO2	0.25162973
C15orf44	0.251592562
RPL22L1	0.251586623
ARHGDIG	0.251292781
TRAV24	0.251013425
CCNH	0.250990342
UBAP1L	0.25090480600000004
GYG1	0.250838563
LRRK1	0.25079027
STX10	0.250676884
GGN	0.250672992
RDH16	0.250519528
LETM1	0.250517945
PCSK6	0.250509067
PVR	0.250498624
C6orf192	0.250455759
LOC389641	0.250368867
PCGF1	0.250335176
ZNF800	0.250317738
BAG2	0.250265959
CA12	0.250222977
COX7C	0.250184582
TM9SF4	0.25016849
MLNR	0.250150215
ANKRD55	0.25007246
HNRNPAB	0.250037778
PDC	0.249950271
LOC100507540	0.24992047399999998
CCDC59	0.24986978399999998
EIF5A	0.24981524800000002
FAHD2A	0.249790782
POLR3D	0.24963424
UNC119	0.249575643
AHSA1	0.249546692
SFSWAP	0.24946522699999998
C10orf62	0.24945617899999997
WDR4	0.249338705
MTFMT	0.24927691899999999
C1orf174	0.249247451
SLC7A8	0.249227846
GLIS1	0.249020264
MRPL22	0.24894033
MGC2889	0.24890699300000002
LOC100129476	0.248879198
ZSWIM1	0.248636435
LOC157627	0.24859798
CACNG6	0.248580857
IKZF5	0.248466634
CRTAP	0.248432457
PKP1	0.248223325
AVEN	0.24809849899999997
C10orf18	0.248092708
KCTD5	0.24792957
C20orf20	0.247917055
ADSL	0.247914821
PYCR1	0.247808954
PLOD3	0.24771895100000002
FAM100A	0.247691511
MRPL32	0.247670878
EPHA3	0.24757493
RGS14	0.24755713899999998
FGFR4	0.24754780899999998
DHX34	0.24748605399999998
AAAS	0.24746256
GFM1	0.24721852800000002
RFX5	0.247175757
NIT2	0.24712869
OTUD7A	0.247084948
FAT2	0.24705216800000002
C7orf16	0.246890588
AURKB	0.24669247600000002
CDKN2AIPNL	0.246645399
TMEM190	0.246479846
HBD	0.24642998100000002
MRPL37	0.246307992
MGC27345	0.246286139
GEMIN7	0.246217582
GHRL	0.2460951
LOC100506548	0.246034731
S1PR4	0.246030585
HMGXB3	0.24596512899999998
RPS3	0.245946147
C17orf76-AS1	0.245886033
SMARCD2	0.245827677
CD6	0.245823373
SLC34A3	0.245647275
NT5C3L	0.24563216
TSPAN5	0.245563555
SEC1	0.245552555
MAP2K3	0.245520774
ZC3H7B	0.24551275
FAM175A	0.24538421800000002
CLPP	0.24532630600000002
WNT8B	0.245301159
CCDC6	0.245241248
NOL10	0.245170117
SLC27A5	0.24511465899999998
PTX3	0.24492847899999998
UTP14A	0.244733015
OAF	0.24446251300000002
MMP25	0.24423902100000003
ZC3H8	0.24416395300000002
CERS1	0.24401346699999998
TBX6	0.24395451399999998
HP09025	0.243944667
HMGA2	0.243843216
PTCHD1	0.243804078
C4orf32	0.24377586
GPR112	0.24369334899999998
STAG3	0.243603827
NUP155	0.24358924
TRIM27	0.243565135
GINS3	0.243394558
PGM2	0.24337731
TPI1	0.24325402399999999
CCL4	0.243214443
IRAK2	0.24318515699999999
NXNL1	0.24316475699999998
NEURL2	0.24302922
FKBP5	0.24281883699999998
OGFR	0.242779899
NAGPA	0.24272560399999998
GTF2E2	0.242688739
IMMP2L	0.242494501
POP7	0.24241373100000002
SSTR2	0.242280572
GRB2	0.242229195
HVCN1	0.242203146
LTV1	0.242136026
MTFP1	0.24191243699999998
ZNF622	0.24182255600000002
TMEM95	0.241804324
CCDC58	0.24175688
FOXN2	0.24167842899999997
DNMT3L	0.241591618
SLC25A10	0.24154054600000002
GLUD2	0.241534348
C20orf202	0.241501942
CDT1	0.24148228100000002
SRRM2	0.241430275
EIF4A3	0.241251443
NHEJ1	0.24120169100000002
TMEM33	0.241145057
ECE2	0.241132045
BRAT1	0.241064127
SLC1A7	0.24099364199999998
PLA2G4F	0.24096970199999998
DOC2A	0.24085145600000002
NSUN2	0.240819397
SNRNP70	0.240812395
GPR27	0.240665669
GTPBP4	0.240558406
LOC100506219	0.24047006
SHF	0.240358049
CEBPZ	0.240194094
LOC79015	0.24008860699999998
MYBPH	0.240042975
SRCRB4D	0.239929947
POLR2D	0.239844185
FAM189B	0.239699723
LOC494558	0.239647782
GLIPR1L1	0.239530452
EPHB4	0.239406234
PGRMC1	0.239189395
DNAJB8	0.23862388699999998
IPO11	0.23854229899999999
10-Sep	0.238510177
TMEM48	0.23850463600000002
LOC641364	0.238280899
SRXN1	0.238216448
NELF	0.238178991
GPR21	0.23815534800000002
EARS2	0.238023249
ARHGDIA	0.238007797
TUBGCP2	0.237959468
PFKFB3	0.23790833
RAC2	0.23784755
ARC	0.237819108
BTBD2	0.23780861600000003
MXRA7	0.23777382
KIF1C	0.237522478
MYEOV	0.23750555
ACAT1	0.23743699
CHCHD10	0.237410077
TBC1D29	0.237399904
ERF	0.23718275
AMPD2	0.237156609
GPN1	0.23696799699999999
TMEM63B	0.236840265
TAS2R4	0.236566832
FBXO22	0.23653508899999998
DDX41	0.23646437
CAMKK2	0.236385962
AGTRAP	0.23633509100000002
DPH5	0.236328803
PROKR2	0.236112197
FTCD	0.23602554899999997
FAM43B	0.23601760100000002
IL1RL2	0.23601091800000001
LLPH	0.23593476300000002
SOX7	0.235878951
SLC35B4	0.23585731
CDCA7	0.235808768
GRB14	0.23580804600000002
PGLYRP4	0.23580402
WWTR1	0.23568097
C16orf42	0.23564267
IMPG2	0.235641464
GALK2	0.23544648
FLJ20712	0.23536291899999998
METTL13	0.235313561
MPST	0.235270652
TSPO	0.235228628
SPRYD4	0.235113187
SLC25A41	0.234933703
NAA25	0.234823134
PNPO	0.23471644
PCYT1A	0.234687439
LINC00301	0.23460728100000003
FERMT1	0.234605912
GAB4	0.23459727800000002
DHX36	0.234499857
NDUFV1	0.234355432
FCRLB	0.234270507
PFN1	0.234240184
NFKB1	0.234153129
S100A2	0.234150739
PRF1	0.23409665600000001
KIAA0090	0.234087684
MAT2A	0.233815038
NEUROD6	0.23370898699999998
LMAN1L	0.233590358
THAP4	0.233526464
GNPNAT1	0.23341863699999998
UGT3A1	0.23341775899999997
M6PR	0.2332611
PYY2	0.23315072
SRM	0.233111338
FASTKD3	0.23308907899999998
GPR44	0.23308060100000003
NRARP	0.23306644199999998
LAS1L	0.23298839300000002
DBI	0.232961325
AFAP1-AS1	0.232816621
TCF15	0.232638983
METTL16	0.23260573899999998
ACTR3B	0.23248515600000003
RNF125	0.232466034
MTFR1	0.232465542
BICD2	0.232432917
GPR68	0.232396422
ZFP36L2	0.23237924699999998
ZNF423	0.23237622
CCDC134	0.232314044
EEF1D	0.23214886899999998
GSPT1	0.232075593
CHAC2	0.231968034
SERPINA9	0.231918807
ADAMTS16	0.231884919
F12	0.23187669100000002
HHEX	0.231786422
POLR3H	0.231776855
HMOX2	0.231644684
DHX16	0.23160430399999998
MRPL50	0.231566207
