	gene.list	gene.scores
88	THRSP	0.397437238
89	DHX37	0.397275203
90	TMEM161A	0.397175821
91	CAMKV	0.396563943
92	WDR43	0.396027271
93	PMPCA	0.394985245
94	METTL11A	0.394864185
95	COX10	0.394013424
96	AANAT	0.39390979
97	NAT10	0.393836547
98	PPPDE2	0.39360777
99	FKBP4	0.392938092
100	PLTP	0.391767797
101	DUSP7	0.39154063
102	TYRO3	0.391293469
103	UBE2O	0.39128547
104	RPL4	0.390891517
105	SCARB1	0.390671506
106	MRM1	0.389862552
107	WDR46	0.389349366
108	GNL3	0.38880044
109	TMEM177	0.387688195
110	PGAM5	0.387216892
111	P2RX5	0.386975615
112	TSR1	0.386785472
113	ACCN2	0.385257295
114	ANKLE1	0.385146767
115	ATIC	0.384727372
116	AHCY	0.38428969
117	TEX10	0.383812873
118	IMP4	0.383234365
119	PFKM	0.383224021
120	TGIF2	0.382976166
121	RFT1	0.381647386
122	IFRD2	0.380844004
123	ZNF593	0.380757228
124	DCAF4	0.380462362
125	DNAJC2	0.379331916
126	ATP1B3	0.37920948
127	PEX5	0.378756571
128	CTU2	0.376680571
129	IMPDH2	0.376556434
130	FBL	0.376435038
131	PTGES2	0.376127147
132	LRFN1	0.375723136
133	MARS2	0.375192167
134	RPUSD1	0.375064618
135	TBKBP1	0.374614673
136	RPF2	0.374599168
137	ALG3	0.373786119
138	MRPL16	0.373659005
139	WDR59	0.373051149
140	RPL13	0.372926217
141	HARS	0.372527679
142	LRPPRC	0.372114426
143	NPM1	0.37176319
144	PHB2	0.371545109
145	ZNF276	0.371391267
146	KATNB1	0.370973164
147	12-Sep	0.370908609
148	USP10	0.370520924
149	NCL	0.370452537
150	CGREF1	0.36952788
151	CDK6	0.369364072
152	RRP12	0.368832022
153	ABCC4	0.368781096
154	GLUD1	0.36877603
155	PDIA5	0.368466689
156	NIP7	0.367912051
157	MRPS22	0.367712652
158	MRPL3	0.367703711
159	TRUB2	0.367516199
160	PRRG3	0.367184581
161	CHCHD6	0.367135416
162	PFAS	0.366536994
163	NOP14	0.366270626
164	CNBP	0.365818624
165	CCT7	0.365658403
166	DHX38	0.36551776
167	ORC2	0.364866126
168	ANKRD13B	0.364767945
169	C7orf40	0.364601535
170	TMED8	0.363421125
171	DDX10	0.363351694
172	RPL38	0.362699757
173	CCDC86	0.362046607
174	TGM6	0.361499559
175	PNO1	0.360501512
176	NEIL2	0.360484701
177	LTA4H	0.360330569
178	PPM1G	0.360108221
179	CDKL1	0.359780638
180	NUP93	0.359424803
181	HK2	0.359315337
182	SRPK1	0.358948247
183	PNPT1	0.358793357
184	PDCD11	0.358561303
185	RUVBL2	0.358534385
186	PPIF	0.358336576
187	MRPS17	0.358082111
188	EXOSC7	0.357967069
189	MTHFD1L	0.357888263
190	WDR36	0.357792192
191	C7orf33	0.357786378
192	RPL23	0.357627367
193	EIF4G1	0.357095379
194	CARM1	0.357095033
195	RGS10	0.356182133
196	NCLN	0.356121239
197	ADAMTS8	0.356075531
198	FAM98A	0.355902136
199	PVT1	0.355651565
200	PDCD2L	0.354941178
201	ACLY	0.353762411
202	TAF1D	0.353217615
203	SURF6	0.35288674
204	RG9MTD1	0.352540251
205	GRWD1	0.351199551
206	DDX54	0.3510431
207	DHODH	0.350474896
208	RRP1B	0.349220433
209	ARMC6	0.348918759
210	HRH2	0.348875949
211	E2F4	0.348409066
212	EIF3D	0.348399208
213	MRPL10	0.348209757
214	DUS2L	0.348057876
215	MRPS7	0.348001132
216	GNB3	0.347764592
217	AATK	0.347578227
218	APRT	0.347295621
219	LPPR5	0.347089182
220	ARHGEF25	0.346821674
221	PDSS1	0.346402057
222	DKC1	0.346293756
223	TRMT61A	0.345952289
224	RPUSD2	0.345852005
225	TEAD4	0.345407131
226	SLC5A5	0.345010775
227	CMTM7	0.344864518
228	NOC4L	0.34451277
229	PCCB	0.344470819
230	RNF126	0.344436821
231	DDX18	0.344222768
232	PARVB	0.343657735
233	GART	0.343381208
234	EEF2	0.343241663
235	HGS	0.343160603
236	RNMTL1	0.342926995
237	POLR1C	0.34261267
238	SLC25A19	0.342562594
239	RPS24	0.34218988
240	SLC38A5	0.341732112
241	LARP1	0.341654676
242	NPM3	0.340889288
243	SLC35F2	0.34070651
244	RCL1	0.340675773
245	TOMM34	0.340570568
246	ZNF296	0.340378581
247	GABRB1	0.340021193
248	TFAP4	0.340004887
249	PHB	0.338982281
250	GAL	0.337775027
251	ANGPTL2	0.336903992
252	FAM195A	0.336806546
253	DAP3	0.336497827
254	C7orf23	0.336415169
255	TOMM22	0.335440545
256	MRPL30	0.335106387
257	RPL14	0.335064818
258	PPARGC1B	0.335044778
259	EPB41L4A-AS1	0.334850296
260	CSDA	0.334721314
261	MATK	0.334329747
262	LOC388796	0.334014827
263	BZW2	0.333748145
264	OXA1L	0.33357585
265	CTRL	0.333415866
266	UFSP1	0.332815353
267	SPATA5L1	0.332741623
268	POLDIP2	0.332635678
269	PLCB2	0.332569471
270	GRIN1	0.332282716
271	RBM19	0.332041285
272	NPW	0.331852149
273	C2orf85	0.331629848
274	ACTL8	0.331136641
275	CDC123	0.331080804
276	SFXN4	0.330677276
277	EIF3J	0.330226564
278	HEATR2	0.32963827
279	USP36	0.329340883
280	SLC4A1	0.329323136
281	NOP2	0.329012531
282	PNPLA3	0.328823504
283	RPL31	0.328679899
284	MON1A	0.3281394
285	GUCA1C	0.327940813
286	METAP1	0.327759762
287	PELP1	0.327674154
288	NME1	0.327389025
289	POLR1A	0.327316372
290	METTL8	0.327187981
291	DDX56	0.326992628
292	HPDL	0.326979068
293	FTSJ3	0.326773494
294	PFDN6	0.326482536
295	KAT2A	0.326134078
296	IMP3	0.326018138
297	CAMKK1	0.325960273
298	C17orf96	0.325739131
299	CAD	0.32568829
300	UBIAD1	0.325633754
301	TIMM50	0.325562621
302	YDJC	0.325223637
303	SELRC1	0.324706577
304	ALDH1B1	0.324675422
305	EXOSC5	0.323735029
306	INO80	0.323214083
307	MRPS23	0.323039785
308	PRMT1	0.32291496
309	MRPS12	0.322851609
310	DHX33	0.3224385
311	SLC17A7	0.322153782
312	CARD9	0.321738701
313	TRABD	0.321227141
314	UTP6	0.320799031
315	PDE4A	0.320760695
316	TOMM70A	0.320062282
317	CHCHD4	0.320019654
318	FKBP11	0.319943011
319	OLIG2	0.319940505
320	SLC27A1	0.319643744
321	PROCR	0.319585361
322	SLN	0.319505926
323	AIPL1	0.319496814
324	MTIF2	0.319489035
325	NRP2	0.319232024
326	FLJ10661	0.319017467
327	TULP1	0.3188662
328	PWP1	0.318559665
329	POLR3E	0.318271322
330	KIAA1274	0.318148021
331	POLR2F	0.318056142
332	MDH2	0.317894565
333	LOC100288413	0.31784582
334	GPI	0.317836527
335	NKRF	0.317560372
336	CDK7	0.317460379
337	DNAJC7	0.3172918
338	LPAR3	0.317207895
339	CDV3	0.317162025
340	SH2D2A	0.317048291
341	RPL11	0.316964653
342	SNORA68	0.316522143
343	ASB13	0.316165269
344	TARS2	0.316017489
345	PTRH1	0.315661314
346	RRP1	0.315418696
347	TMCO6	0.314429443
348	PRDM8	0.314112507
349	PWP2	0.313959064
350	PDZD3	0.313805634
351	GUCY2D	0.313590092
352	IL12A	0.313559428
353	TRAF3	0.313457812
354	G3BP1	0.313250313
355	LYPD4	0.313228245
356	PPRC1	0.313193374
357	ST6GALNAC4	0.313121075
358	TXNL4B	0.313100142
359	SLC6A15	0.313087476
360	POLG2	0.31290065
361	PSMD12	0.312756144
362	YARS2	0.312608674
363	KLHL21	0.312576366
364	C3orf54	0.312022383
365	ZNRD1	0.312011097
366	ZNF581	0.311654023
367	ZYX	0.31148438
368	PNP	0.31142606
369	ZNF282	0.31131859
370	DDX28	0.310297088
371	PITX3	0.31019065
372	PSME3	0.310170682
373	GPATCH4	0.309854174
374	RPL37A	0.309563791
375	EXOSC4	0.309260197
376	SCO1	0.308974965
377	MAPKAPK3	0.308971629
378	AQP6	0.308796788
379	RBP3	0.308771488
380	SKIV2L2	0.308769216
381	SOLH	0.308655741
382	RNF7	0.308300109
383	TTLL4	0.308249101
384	CLNS1A	0.308140555
385	THG1L	0.307914773
386	FEZF2	0.307779333
387	SF3B3	0.307509454
388	COL27A1	0.306846499
389	EPB41L2	0.306511687
390	MRPL44	0.306434563
391	NUP37	0.306362396
392	CLPB	0.306300394
393	FOXN1	0.306259041
394	PNMT	0.306214206
395	HSPA4	0.305852038
396	RHBDF2	0.305756356
397	MRTO4	0.305707545
398	LIAS	0.305684434
399	RPA4	0.305466107
400	TMCO7	0.304699605
401	QTRTD1	0.304473242
402	MAP4	0.304461954
403	ELAC2	0.304093355
404	CDK5RAP1	0.30403059
405	VARS	0.303773957
406	MRPS18B	0.303511791
407	AK4	0.303330852
408	TTC27	0.303203209
409	RIN1	0.30305914
410	DSG2	0.302942177
411	TAMM41	0.302912638
412	LSM11	0.302803962
413	MRPL45	0.302775704
414	CCT4	0.302714519
415	WARS2	0.302351333
416	XPO6	0.302184025
417	TFAM	0.301798501
418	TSEN2	0.301777299
419	ADORA2B	0.301759386
420	SLC25A22	0.301524335
421	MPI	0.301236459
422	PSMG4	0.300928368
423	TACO1	0.300887216
424	AIF1	0.300771069
425	FBXL19-AS1	0.300583141
426	ETF1	0.300582526
427	NHP2	0.300514926
428	ANKRD34A	0.300512365
429	GAR1	0.300301663
430	RGS19	0.300083021
431	RPL13AP17	0.300031132
432	C6orf108	0.299909929
433	FBXO31	0.299836637
434	HADHA	0.299726488
435	KCNJ3	0.29943536
436	XPO5	0.299241029
437	ZFP64	0.299118958
438	GIT1	0.298867766
439	IGF2BP2	0.298800471
440	C12orf10	0.29850808
441	EDA	0.298400942
442	DDX31	0.29829848
443	FARSB	0.298158866
444	SNORA74A	0.29805273
445	PIGL	0.298045827
446	RPAP1	0.298020875
447	PLXNA1	0.297867742
448	TUBGCP4	0.297561888
449	AMD1	0.297452295
450	POLR1E	0.297410452
451	TFB2M	0.297062691
452	EMG1	0.296736579
453	CTSC	0.296728607
454	SLC25A39	0.296291115
455	FOXL1	0.296107898
456	IPO4	0.296021467
457	TMEM101	0.296019072
458	C12orf52	0.295977897
459	CD3EAP	0.295718989
460	RRP7A	0.295695183
461	ANO7	0.295657282
462	UCK2	0.295454005
463	MXI1	0.29536336
464	CCDC85B	0.295235026
465	MIIP	0.295122363
466	LOC388906	0.295099021
467	LRRC59	0.295038177
468	GEMIN6	0.295012466
469	NFS1	0.294898934
470	POLD2	0.294183267
471	METTL12	0.29392532
472	TNPO3	0.293906402
473	TCEB3	0.293843203
474	PSMD3	0.293698282
475	GNPDA1	0.293635932
476	AAMP	0.293589371
477	GLT25D1	0.29353525
478	OGFOD1	0.293529066
479	IFFO2	0.293409248
480	PFDN2	0.293390165
481	P2RY1	0.293332002
482	ANKRD27	0.292809811
483	SDHB	0.292748833
484	TNNC2	0.292559989
485	FLYWCH1	0.29241098
486	FARSA	0.292395954
487	HES7	0.292025101
488	KCNQ5	0.291798782
489	TRAF7	0.291706967
490	NOC3L	0.291694498
491	PPM1N	0.291404522
492	THOP1	0.291181133
493	MTRR	0.291003498
494	ARMC10	0.290904866
495	TKT	0.290802586
496	ABCF3	0.290602474
497	DHX35	0.290534434
498	TMEM120B	0.290277341
499	NHP2L1	0.290130005
500	SSR3	0.289899864
501	GCGR	0.289467582
502	DIAPH2	0.289414503
503	ERAL1	0.289258576
504	RPP40	0.289252071
505	LAMC3	0.289201263
506	SNRPA	0.288911999
507	PAICS	0.288868167
508	HAGHL	0.288759473
509	CLDN19	0.288549043
510	TYW3	0.288372175
511	MRPL38	0.288322178
512	TMEM174	0.288207908
513	PSMB3	0.288038427
514	MRPL2	0.287507972
515	TSPAN18	0.287107942
516	C20orf166	0.286995661
517	BAZ2A	0.286975311
518	NME4	0.28673508
519	CWC27	0.286637217
520	ESR2	0.286636405
521	FAM162A	0.286375778
522	SLC5A11	0.286335123
523	PRMT5	0.286251888
524	AIFM1	0.286067584
525	NPAS1	0.286059561
526	RPS14	0.286034384
527	SRP68	0.285993114
528	MKI67IP	0.285936498
529	SCARNA2	0.285824244
530	GJD2	0.285801465
531	CISD3	0.285514062
532	CSTF2	0.285221445
533	SLC22A8	0.285013824
534	FASN	0.284931892
535	ATP13A1	0.284841413
536	NOP56	0.284308503
537	RPL39L	0.284183732
538	COPS2	0.284101419
539	DFFA	0.284095046
540	TIMM44	0.28406878
541	WDR5	0.283862359
542	SLC39A14	0.283737107
543	RNF149	0.283625616
544	C20orf27	0.283566678
545	ANKRD57	0.283520139
546	C9orf50	0.283468255
547	DCTPP1	0.283435393
548	STEAP3	0.283176527
549	PRPF8	0.28308449
550	NLGN2	0.282946903
551	SLC5A6	0.282843423
552	CDC37	0.282794789
553	MECR	0.282762836
554	PRAMEF11	0.282652347
555	CLVS1	0.282621855
556	CCDC137	0.282555117
557	BSG	0.282486954
558	NOL6	0.282453369
559	TTYH2	0.282304577
560	ZNHIT1	0.282300878
561	ARR3	0.282266553
562	WDR75	0.282173698
563	TSSK3	0.282027119
564	ABHD14B	0.281724617
565	NEUROD4	0.281024279
566	WDR18	0.280969433
567	SUN5	0.28090426
568	FXN	0.280754841
569	KCNQ4	0.280581125
570	UBE2CBP	0.280509595
571	CD27	0.280371313
572	GSX2	0.280342539
573	EPHA8	0.280321817
574	MLXIPL	0.280282046
575	LPCAT4	0.280228293
576	TSPAN32	0.279898458
577	ATP5B	0.279779419
578	TLCD1	0.279548753
579	SSBP1	0.279451292
580	MAX	0.279447943
581	THOC5	0.278937764
582	SLC17A9	0.278878666
583	RIMS4	0.278788791
584	ATAD3A	0.278771933
585	RBM27	0.278562129
586	AK2	0.278476277
587	CDX1	0.27834962
588	PTCD2	0.278289476
589	LYRM4	0.278222883
590	RPL3	0.278153559
591	MRPS35	0.278147549
592	SLC25A26	0.278094994
593	ANKRD33B	0.277987714
594	DSCR4	0.277960161
595	C12orf24	0.277851257
596	LOC151484	0.277680177
597	MOS	0.277290269
598	AVL9	0.277259319
599	RPRML	0.277044938
600	MIP	0.276935937
601	GADD45GIP1	0.276762088
602	CCND2	0.276696713
603	BMS1	0.276583869
604	ATAD3B	0.276563932
605	NAT9	0.276450295
606	EIF3G	0.276429151
607	B3GALNT2	0.276412691
608	PHF15	0.276338815
609	WDR81	0.276284572
610	QTRT1	0.276225621
611	AFMID	0.276193768
612	AIRE	0.275542329
613	NOP10	0.275478809
614	PTPN14	0.27534219
615	CA7	0.275285771
616	DDX51	0.275118091
617	AXIN1	0.274832182
618	PGK2	0.274771228
619	CACNG1	0.274751913
620	POLR2H	0.274620122
621	PRRT1	0.274257991
622	CPOX	0.274242678
623	C16orf13	0.27420827
624	NUP205	0.274203901
625	EEF2K	0.274060006
626	PRELID1	0.273998188
627	ADCYAP1R1	0.273823646
628	PRDM11	0.273799392
629	RS1	0.273654908
630	SLC16A1	0.273642928
631	UMPS	0.273421777
632	RPUSD3	0.273385103
633	PRR22	0.273377778
634	SMYD5	0.273191969
635	EIF3A	0.273102097
636	ADCK3	0.272957418
637	MLKL	0.272765539
638	ALDH18A1	0.272711097
639	SNHG8	0.27253289
640	AEN	0.272463637
641	MMS19	0.272405253
642	ABCB7	0.272321852
643	NDUFA10	0.272128108
644	NCS1	0.271948968
645	HBM	0.271848271
646	ADCY7	0.271843605
647	DUSP2	0.271726253
648	UTP15	0.271507865
649	RASL10B	0.271466776
650	EIF6	0.271353547
651	C17orf51	0.271323978
652	FITM2	0.271299276
653	CACNG5	0.271297598
654	DHRS11	0.271218783
655	SFT2D1	0.271164871
656	PREX2	0.271135777
657	NOL9	0.271062126
658	ADAD2	0.27083123
659	PODN	0.270552594
660	PITX1	0.270487804
661	GDPD2	0.270231218
662	CABP2	0.270184396
663	TNFRSF8	0.270071495
664	GABRA5	0.270067349
665	RPP25	0.270046871
666	STAC	0.269626379
667	ATG7	0.269432907
668	GPD1L	0.269346151
669	EVX1	0.269286236
670	MMD2	0.269154067
671	ICT1	0.269143581
672	EIF5B	0.269079513
673	SNHG7	0.268577612
674	KHSRP	0.268211846
675	NCOR2	0.26820489
676	EIF3I	0.268156913
677	MRPS10	0.26802551
678	CELA2B	0.267896602
679	MRPS34	0.267690253
680	SUSD3	0.267685491
681	ADORA3	0.267620511
682	LOC100505986	0.267571033
683	OTX2OS1	0.267494837
684	DDOST	0.267448281
685	IL17RE	0.267198347
686	GTPBP3	0.267182244
687	LOC100506319	0.267147357
688	LARS	0.267069783
689	LSP1	0.267044789
690	RNF126P1	0.266857349
691	PLD6	0.266257387
692	FOXK1	0.266198506
693	TNPO1	0.266175193
694	C1orf170	0.266173319
695	PRKAR2A	0.266024373
696	STEAP1	0.266001962
697	BTF3	0.265796946
698	C15orf39	0.265653352
699	CRX	0.265509769
700	METTL21B	0.265416404
701	ALDOA	0.265256393
702	METTL1	0.265228898
703	SHMT2	0.265169703
704	CUL1	0.265168834
705	ST6GALNAC6	0.26511891
706	DUSP9	0.264906392
707	PTDSS1	0.26484996
708	MRPL14	0.264800218
709	NFE2L3	0.264690933
710	DDX55	0.264639563
711	CSNK1G2	0.264558915
712	GHRLOS	0.264389374
713	LOC644714	0.264318685
714	CCDC124	0.264311983
715	SLC25A37	0.264278306
716	COPS6	0.264238428
717	C3orf56	0.2641662
718	GPN2	0.263899968
719	AQR	0.263546822
720	AGAP3	0.263453765
721	PRSS21	0.263399181
722	COX4I2	0.263398411
723	STOML2	0.263304029
724	RCOR2	0.263272276
725	NOL8	0.26325137
726	PIEZO1	0.262864461
727	SCD	0.262858765
728	PCOLCE2	0.262857192
729	ZCCHC9	0.262638942
730	ALPL	0.262485709
731	ADPGK	0.26234704
732	SLC25A43	0.262325656
733	TIMM8A	0.262297253
734	POU3F1	0.26208723
735	RRS1	0.262072668
736	HPRT1	0.262066302
737	PVRL1	0.261838215
738	MRPS18A	0.261775713
739	PM20D1	0.261634197
740	PRR7	0.261627987
741	RPUSD4	0.261625142
742	FAM123B	0.261569778
743	WDR77	0.26154483
744	SLC25A5	0.261405858
745	SUPT3H	0.261360742
746	RILPL2	0.2611748
747	GCN1L1	0.261170813
748	PKM2	0.260991918
749	OPRL1	0.260789415
750	DCDC2B	0.260716303
751	FAM82A2	0.26061885
752	NOP58	0.260341432
753	C7orf11	0.260316471
754	ORC5	0.260106188
755	FBXL19	0.260083415
756	LOC100506392	0.259932022
757	MOGS	0.259798447
758	GDEP	0.259741565
759	LOC100652861	0.259602519
760	GUCA1A	0.259552035
761	RNF123	0.259549765
762	LOC100506997	0.259541019
763	SCO2	0.259361514
764	GNG12	0.25924915
765	AP1S1	0.259199023
766	MTA1	0.259185441
767	MOCS3	0.259114883
768	DUS4L	0.25881705
769	CRYBG3	0.258789963
770	TRAV26-2	0.258778736
771	ABHD16B	0.258590867
772	TARBP2	0.258114994
773	FBXW9	0.258019455
774	KCNN1	0.257969077
775	C17orf82	0.257932245
776	SNAI1	0.25786976
777	MAPKAP1	0.257841245
778	ABI3	0.257565209
779	APOC1	0.257389693
780	MYH7	0.257387444
781	METTL17	0.257225801
782	C4orf14	0.257222333
783	SSSCA1	0.257183378
784	KCNQ1DN	0.257148814
785	PDP2	0.25705272
786	ZNF259	0.256828355
787	DVL1	0.256655117
788	ARHGAP22	0.256653085
789	RPL22	0.256588626
790	LIM2	0.256581148
791	CCDC78	0.256540398
792	C19orf53	0.25644528
793	CHP2	0.256366722
794	ADCY3	0.256323902
795	EHD4	0.256318272
796	MLIP	0.256199368
797	GRIN2D	0.255848121
798	DDX49	0.255796643
799	EIF2D	0.255722742
800	RAP2B	0.255719021
801	BBX	0.255641824
802	HDDC2	0.255620316
803	MAK16	0.255553898
804	HK3	0.255549795
805	UCHL5	0.255522102
806	MARCO	0.255471073
807	CACNA1F	0.255328424
808	DNPEP	0.255265656
809	SUPV3L1	0.255180892
810	SSTR3	0.255156894
811	RBP5	0.25515063
812	NTNG2	0.255115581
813	LOC339442	0.254879404
814	SNRPF	0.254806672
815	ZNF556	0.25475023
816	ENO1	0.254746525
817	TRIP13	0.254645976
818	C2orf89	0.254612066
819	TIMMDC1	0.254373672
820	SLC4A7	0.254330848
821	CDCA7L	0.254283805
822	LOC286442	0.254018967
823	C2orf47	0.253983974
824	DUS3L	0.253893685
825	MCM7	0.253649513
826	LOC100507584	0.253625456
827	CNTN1	0.253607829
828	ANKS6	0.253586868
829	EXOSC6	0.253580563
830	GOT2	0.253447317
831	PPA1	0.253172299
832	JAGN1	0.253043801
833	TP53RK	0.253021479
834	CCT2	0.252945323
835	C19orf29	0.2528625
836	ELOVL6	0.252857605
837	MAPK12	0.252722592
838	MKS1	0.252639638
839	PRELP	0.252621417
840	REXO4	0.252329806
841	RIOK2	0.252300735
842	RBFOX3	0.252218156
843	CRYBB3	0.252210147
844	MPP6	0.25202292
845	XPO4	0.251942585
846	FAH	0.251835576
847	NDUFAF1	0.251773823
848	BRS3	0.251677261
849	PYGL	0.251670036
850	TELO2	0.25162973
851	C15orf44	0.251592562
852	RPL22L1	0.251586623
853	ARHGDIG	0.251292781
854	TRAV24	0.251013425
855	CCNH	0.250990342
856	UBAP1L	0.250904806
857	GYG1	0.250838563
858	LRRK1	0.25079027
859	STX10	0.250676884
860	GGN	0.250672992
861	RDH16	0.250519528
862	LETM1	0.250517945
863	PCSK6	0.250509067
864	PVR	0.250498624
865	C6orf192	0.250455759
866	LOC389641	0.250368867
867	PCGF1	0.250335176
868	ZNF800	0.250317738
869	BAG2	0.250265959
870	CA12	0.250222977
871	COX7C	0.250184582
872	TM9SF4	0.25016849
873	MLNR	0.250150215
874	ANKRD55	0.25007246
875	HNRNPAB	0.250037778
876	PDC	0.249950271
877	LOC100507540	0.249920474
878	CCDC59	0.249869784
879	EIF5A	0.249815248
880	FAHD2A	0.249790782
881	POLR3D	0.24963424
882	UNC119	0.249575643
883	AHSA1	0.249546692
884	SFSWAP	0.249465227
885	C10orf62	0.249456179
886	WDR4	0.249338705
887	MTFMT	0.249276919
888	C1orf174	0.249247451
889	SLC7A8	0.249227846
890	GLIS1	0.249020264
891	MRPL22	0.24894033
892	MGC2889	0.248906993
893	LOC100129476	0.248879198
894	ZSWIM1	0.248636435
895	LOC157627	0.24859798
896	CACNG6	0.248580857
897	IKZF5	0.248466634
898	CRTAP	0.248432457
899	PKP1	0.248223325
900	AVEN	0.248098499
901	C10orf18	0.248092708
902	KCTD5	0.24792957
903	C20orf20	0.247917055
904	ADSL	0.247914821
905	PYCR1	0.247808954
906	PLOD3	0.247718951
907	FAM100A	0.247691511
908	MRPL32	0.247670878
909	EPHA3	0.24757493
910	RGS14	0.247557139
911	FGFR4	0.247547809
912	DHX34	0.247486054
913	AAAS	0.24746256
914	GFM1	0.247218528
915	RFX5	0.247175757
916	NIT2	0.24712869
917	OTUD7A	0.247084948
918	FAT2	0.247052168
919	C7orf16	0.246890588
920	AURKB	0.246692476
921	CDKN2AIPNL	0.246645399
922	TMEM190	0.246479846
923	HBD	0.246429981
924	MRPL37	0.246307992
925	MGC27345	0.246286139
926	GEMIN7	0.246217582
927	GHRL	0.2460951
928	LOC100506548	0.246034731
929	S1PR4	0.246030585
930	HMGXB3	0.245965129
931	RPS3	0.245946147
932	C17orf76-AS1	0.245886033
933	SMARCD2	0.245827677
934	CD6	0.245823373
935	SLC34A3	0.245647275
936	NT5C3L	0.24563216
937	TSPAN5	0.245563555
938	SEC1	0.245552555
939	MAP2K3	0.245520774
940	ZC3H7B	0.24551275
941	FAM175A	0.245384218
942	CLPP	0.245326306
943	WNT8B	0.245301159
944	CCDC6	0.245241248
945	NOL10	0.245170117
946	SLC27A5	0.245114659
947	PTX3	0.244928479
948	UTP14A	0.244733015
949	OAF	0.244462513
950	MMP25	0.244239021
951	ZC3H8	0.244163953
952	CERS1	0.244013467
953	TBX6	0.243954514
954	HP09025	0.243944667
955	HMGA2	0.243843216
956	PTCHD1	0.243804078
957	C4orf32	0.24377586
958	GPR112	0.243693349
959	STAG3	0.243603827
960	NUP155	0.24358924
961	TRIM27	0.243565135
962	GINS3	0.243394558
963	PGM2	0.24337731
964	TPI1	0.243254024
965	CCL4	0.243214443
966	IRAK2	0.243185157
967	NXNL1	0.243164757
968	NEURL2	0.24302922
969	FKBP5	0.242818837
970	OGFR	0.242779899
971	NAGPA	0.242725604
972	GTF2E2	0.242688739
973	IMMP2L	0.242494501
974	POP7	0.242413731
975	SSTR2	0.242280572
976	GRB2	0.242229195
977	HVCN1	0.242203146
978	LTV1	0.242136026
979	MTFP1	0.241912437
980	ZNF622	0.241822556
981	TMEM95	0.241804324
982	CCDC58	0.24175688
983	FOXN2	0.241678429
984	DNMT3L	0.241591618
985	SLC25A10	0.241540546
986	GLUD2	0.241534348
987	C20orf202	0.241501942
988	CDT1	0.241482281
989	SRRM2	0.241430275
990	EIF4A3	0.241251443
991	NHEJ1	0.241201691
992	TMEM33	0.241145057
993	ECE2	0.241132045
994	BRAT1	0.241064127
995	SLC1A7	0.240993642
996	PLA2G4F	0.240969702
997	DOC2A	0.240851456
998	NSUN2	0.240819397
999	SNRNP70	0.240812395
1000	GPR27	0.240665669
1001	GTPBP4	0.240558406
1002	LOC100506219	0.24047006
1003	SHF	0.240358049
1004	CEBPZ	0.240194094
1005	LOC79015	0.240088607
1006	MYBPH	0.240042975
1007	SRCRB4D	0.239929947
1008	POLR2D	0.239844185
