hyb_protocol	750 ng of each cRNA sample were hybridized into Illumina’s Sentrix HumanHT-12 v4 Expression Bead Chips at 58 °C overnight according to Illuminaâ Whole-Genome Gene Expression Direct Hybridization Assay Guide (part # 11322355, rev.A)	750 ng of each cRNA sample were hybridized into Illumina’s Sentrix HumanHT-12 v4 Expression Bead Chips at 58 °C overnight according to Illuminaâ Whole-Genome Gene Expression Direct Hybridization Assay Guide (part # 11322355, rev.A)	750 ng of each cRNA sample were hybridized into Illumina’s Sentrix HumanHT-12 v4 Expression Bead Chips at 58 °C overnight according to Illuminaâ Whole-Genome Gene Expression Direct Hybridization Assay Guide (part # 11322355, rev.A)	750 ng of each cRNA sample were hybridized into Illumina’s Sentrix HumanHT-12 v4 Expression Bead Chips at 58 °C overnight according to Illuminaâ Whole-Genome Gene Expression Direct Hybridization Assay Guide (part # 11322355, rev.A)	750 ng of each cRNA sample were hybridized into Illumina’s Sentrix HumanHT-12 v4 Expression Bead Chips at 58 °C overnight according to Illuminaâ Whole-Genome Gene Expression Direct Hybridization Assay Guide (part # 11322355, rev.A)	750 ng of each cRNA sample were hybridized into Illumina’s Sentrix HumanHT-12 v4 Expression Bead Chips at 58 °C overnight according to Illuminaâ Whole-Genome Gene Expression Direct Hybridization Assay Guide (part # 11322355, rev.A)	750 ng of each cRNA sample were hybridized into Illumina’s Sentrix HumanHT-12 v4 Expression Bead Chips at 58 °C overnight according to Illuminaâ Whole-Genome Gene Expression Direct Hybridization Assay Guide (part # 11322355, rev.A)	750 ng of each cRNA sample were hybridized into Illumina’s Sentrix HumanHT-12 v4 Expression Bead Chips at 58 °C overnight according to Illuminaâ Whole-Genome Gene Expression Direct Hybridization Assay Guide (part # 11322355, rev.A)	750 ng of each cRNA sample were hybridized into Illumina’s Sentrix HumanHT-12 v4 Expression Bead Chips at 58 °C overnight according to Illuminaâ Whole-Genome Gene Expression Direct Hybridization Assay Guide (part # 11322355, rev.A)	750 ng of each cRNA sample were hybridized into Illumina’s Sentrix HumanHT-12 v4 Expression Bead Chips at 58 °C overnight according to Illuminaâ Whole-Genome Gene Expression Direct Hybridization Assay Guide (part # 11322355, rev.A)	750 ng of each cRNA sample were hybridized into Illumina’s Sentrix HumanHT-12 v4 Expression Bead Chips at 58 °C overnight according to Illuminaâ Whole-Genome Gene Expression Direct Hybridization Assay Guide (part # 11322355, rev.A)	750 ng of each cRNA sample were hybridized into Illumina’s Sentrix HumanHT-12 v4 Expression Bead Chips at 58 °C overnight according to Illuminaâ Whole-Genome Gene Expression Direct Hybridization Assay Guide (part # 11322355, rev.A)
label_ch1	biotin	biotin	biotin	biotin	biotin	biotin	biotin	biotin	biotin	biotin	biotin	biotin
label_protocol_ch1	Illumina Total Prep RNA Amplification kit (Ambion). In vitro transcription reaction overnight (14h) and during it cRNA was biotinylated. The cRNA concentrations where checked with Nanodrop ND-1000 and cRNA quality was controlled by BioRad™s Experion electrophoresis station.	Illumina Total Prep RNA Amplification kit (Ambion). In vitro transcription reaction overnight (14h) and during it cRNA was biotinylated. The cRNA concentrations where checked with Nanodrop ND-1000 and cRNA quality was controlled by BioRad™s Experion electrophoresis station.	Illumina Total Prep RNA Amplification kit (Ambion). In vitro transcription reaction overnight (14h) and during it cRNA was biotinylated. The cRNA concentrations where checked with Nanodrop ND-1000 and cRNA quality was controlled by BioRad™s Experion electrophoresis station.	Illumina Total Prep RNA Amplification kit (Ambion). In vitro transcription reaction overnight (14h) and during it cRNA was biotinylated. The cRNA concentrations where checked with Nanodrop ND-1000 and cRNA quality was controlled by BioRad™s Experion electrophoresis station.	Illumina Total Prep RNA Amplification kit (Ambion). In vitro transcription reaction overnight (14h) and during it cRNA was biotinylated. The cRNA concentrations where checked with Nanodrop ND-1000 and cRNA quality was controlled by BioRad™s Experion electrophoresis station.	Illumina Total Prep RNA Amplification kit (Ambion). In vitro transcription reaction overnight (14h) and during it cRNA was biotinylated. The cRNA concentrations where checked with Nanodrop ND-1000 and cRNA quality was controlled by BioRad™s Experion electrophoresis station.	Illumina Total Prep RNA Amplification kit (Ambion). In vitro transcription reaction overnight (14h) and during it cRNA was biotinylated. The cRNA concentrations where checked with Nanodrop ND-1000 and cRNA quality was controlled by BioRad™s Experion electrophoresis station.	Illumina Total Prep RNA Amplification kit (Ambion). In vitro transcription reaction overnight (14h) and during it cRNA was biotinylated. The cRNA concentrations where checked with Nanodrop ND-1000 and cRNA quality was controlled by BioRad™s Experion electrophoresis station.	Illumina Total Prep RNA Amplification kit (Ambion). In vitro transcription reaction overnight (14h) and during it cRNA was biotinylated. The cRNA concentrations where checked with Nanodrop ND-1000 and cRNA quality was controlled by BioRad™s Experion electrophoresis station.	Illumina Total Prep RNA Amplification kit (Ambion). In vitro transcription reaction overnight (14h) and during it cRNA was biotinylated. The cRNA concentrations where checked with Nanodrop ND-1000 and cRNA quality was controlled by BioRad™s Experion electrophoresis station.	Illumina Total Prep RNA Amplification kit (Ambion). In vitro transcription reaction overnight (14h) and during it cRNA was biotinylated. The cRNA concentrations where checked with Nanodrop ND-1000 and cRNA quality was controlled by BioRad™s Experion electrophoresis station.	Illumina Total Prep RNA Amplification kit (Ambion). In vitro transcription reaction overnight (14h) and during it cRNA was biotinylated. The cRNA concentrations where checked with Nanodrop ND-1000 and cRNA quality was controlled by BioRad™s Experion electrophoresis station.
last_update_date	Apr 21 2015	Apr 21 2015	Apr 21 2015	Apr 21 2015	Apr 21 2015	Apr 21 2015	Apr 21 2015	Apr 21 2015	Apr 21 2015	Apr 21 2015	Apr 21 2015	Apr 21 2015
molecule_ch1	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA
organism_ch1	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens
platform_id	GPL10558	GPL10558	GPL10558	GPL10558	GPL10558	GPL10558	GPL10558	GPL10558	GPL10558	GPL10558	GPL10558	GPL10558
scan_protocol	Chips were scanned with Illumina Bead Array Reader (Factor=1.5, PMT=552, Filter=100%).	Chips were scanned with Illumina Bead Array Reader (Factor=1.5, PMT=552, Filter=100%).	Chips were scanned with Illumina Bead Array Reader (Factor=1.5, PMT=552, Filter=100%).	Chips were scanned with Illumina Bead Array Reader (Factor=1.5, PMT=552, Filter=100%).	Chips were scanned with Illumina Bead Array Reader (Factor=1.5, PMT=552, Filter=100%).	Chips were scanned with Illumina Bead Array Reader (Factor=1.5, PMT=552, Filter=100%).	Chips were scanned with Illumina Bead Array Reader (Factor=1.5, PMT=552, Filter=100%).	Chips were scanned with Illumina Bead Array Reader (Factor=1.5, PMT=552, Filter=100%).	Chips were scanned with Illumina Bead Array Reader (Factor=1.5, PMT=552, Filter=100%).	Chips were scanned with Illumina Bead Array Reader (Factor=1.5, PMT=552, Filter=100%).	Chips were scanned with Illumina Bead Array Reader (Factor=1.5, PMT=552, Filter=100%).	Chips were scanned with Illumina Bead Array Reader (Factor=1.5, PMT=552, Filter=100%).
series_id	GSE57820	GSE57820	GSE57820	GSE57820	GSE57820	GSE57820	GSE57820	GSE57820	GSE57820	GSE57820	GSE57820	GSE57820
source_name_ch1	LNCaP_miR-135b_12h	LNCaP_miR-135b_12h	LNCaP_miR-135b_24h	LNCaP_miR-135b_24h	LNCaP_miR-135b_36h	LNCaP_miR-135b_36h	LNCaP_Scr_12h	LNCaP_Scr_12h	LNCaP_Scr_24h	LNCaP_Scr_24h	LNCaP_Scr_36h	LNCaP_Scr_36h
status	Public on Apr 21 2015	Public on Apr 21 2015	Public on Apr 21 2015	Public on Apr 21 2015	Public on Apr 21 2015	Public on Apr 21 2015	Public on Apr 21 2015	Public on Apr 21 2015	Public on Apr 21 2015	Public on Apr 21 2015	Public on Apr 21 2015	Public on Apr 21 2015
submission_date	May 20 2014	May 20 2014	May 20 2014	May 20 2014	May 20 2014	May 20 2014	May 20 2014	May 20 2014	May 20 2014	May 20 2014	May 20 2014	May 20 2014
supplementary_file	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE
taxid_ch1	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606
title	LNCaP_miR-135b_12h_B1	LNCaP_miR-135b_12h_B2	LNCaP_miR-135b_24h_B1	LNCaP_miR-135b_24h_B2	LNCaP_miR-135b_36h_B1	LNCaP_miR-135b_36h_B2	LNCaP_Scr_12h_B1	LNCaP_Scr_12h_B2	LNCaP_Scr_24h_B1	LNCaP_Scr_24h_B2	LNCaP_Scr_36h_B1	LNCaP_Scr_36h_B2
treatment_protocol_ch1	LNCaP cells were transfected with Ambion pre-miR™ construct for miR-135b or with pre-miR negative control #1 (scrambled pre-miR) at 20 nM, and incubated for 12h, 24h or 36h	LNCaP cells were transfected with Ambion pre-miR™ construct for miR-135b or with pre-miR negative control #1 (scrambled pre-miR) at 20 nM, and incubated for 12h, 24h or 36h	LNCaP cells were transfected with Ambion pre-miR™ construct for miR-135b or with pre-miR negative control #1 (scrambled pre-miR) at 20 nM, and incubated for 12h, 24h or 36h	LNCaP cells were transfected with Ambion pre-miR™ construct for miR-135b or with pre-miR negative control #1 (scrambled pre-miR) at 20 nM, and incubated for 12h, 24h or 36h	LNCaP cells were transfected with Ambion pre-miR™ construct for miR-135b or with pre-miR negative control #1 (scrambled pre-miR) at 20 nM, and incubated for 12h, 24h or 36h	LNCaP cells were transfected with Ambion pre-miR™ construct for miR-135b or with pre-miR negative control #1 (scrambled pre-miR) at 20 nM, and incubated for 12h, 24h or 36h	LNCaP cells were transfected with Ambion pre-miR™ construct for miR-135b or with pre-miR negative control #1 (scrambled pre-miR) at 20 nM, and incubated for 12h, 24h or 36h	LNCaP cells were transfected with Ambion pre-miR™ construct for miR-135b or with pre-miR negative control #1 (scrambled pre-miR) at 20 nM, and incubated for 12h, 24h or 36h	LNCaP cells were transfected with Ambion pre-miR™ construct for miR-135b or with pre-miR negative control #1 (scrambled pre-miR) at 20 nM, and incubated for 12h, 24h or 36h	LNCaP cells were transfected with Ambion pre-miR™ construct for miR-135b or with pre-miR negative control #1 (scrambled pre-miR) at 20 nM, and incubated for 12h, 24h or 36h	LNCaP cells were transfected with Ambion pre-miR™ construct for miR-135b or with pre-miR negative control #1 (scrambled pre-miR) at 20 nM, and incubated for 12h, 24h or 36h	LNCaP cells were transfected with Ambion pre-miR™ construct for miR-135b or with pre-miR negative control #1 (scrambled pre-miR) at 20 nM, and incubated for 12h, 24h or 36h
type	RNA	RNA	RNA	RNA	RNA	RNA	RNA	RNA	RNA	RNA	RNA	RNA
