	ERBB3_PI3K	RAS_WNT_PI3K	KRAS_AP1	MYC	BRAF_MAPK	TNF_NfkB	HNF1_PAX8	MYC_E2F	EMT
YBX1	1.1058500588	0.9596289092	0.9645297248	0.9505075464	0.8597040206	1.0192805937	0.9755631783	1.0270893617	1.0541625334
HRH1	0.2856507925	0.5752904026	0.3919003696	1.91607409584497E-19	0.200608175	1.2430049097	0.5415842287	0.1237594962	0.7651518387
TSPAN5	0.6363722004	0.5285330462	0.3929531552	0.7469123177	0.3435826213	1.1946557272	0.3114480623	0.2138628034	1.1072980862
CTD-2033A16.3	0.8926449326	0.9573957786	0.8987269675	0.7349690226	0.7563768474	0.993044242	0.8388123996	1.0983589664	0.8324357592
DPYSL3	1.28685408240785E-08	0.4689701598	0.4300669291	1.3454758309	0.6505780154	1.1593963852	0.7491001993	7.20770225255097E-18	1.1069109107
PIP4K2A	0.656291769	0.5899073038	0.3525440157	0.5944944462	0.7359310467	0.9054632469	0.8600240944	0.7697567413	0.8124662594
AC006111.1	0.6616069946	0.7921865604	0.5774700668	0.6795664259	0.5874432059	0.6601737386	0.5545372442	1.0821305306	0.5098338664
RP11-497D6.4	0.2049498761	0.1913225962	2.75418740867732E-20	0.2235786183	0.1491513463	0.243410077	0.0827619917	3.59349276756382E-21	0.4974199859
WDR54	0.6959483119	0.5191057917	0.7591662027	0.9519405547	0.686217775	1.1848810193	0.8237481196	0.9870235062	0.7439765458
FUT8	0.7486249774	0.6028399391	0.4990376928	0.5838051458	0.5138051045	1.1836263695	0.5446389649	0.7073738513	0.7132706964
GPR3	0.2668385352	0.4421425027	0.1647861807	0.4801843647	0.699244712	0.6654158919	0.1268972749	0.8974904387	0.4254909871
IL1RL1	0.1272151014	0.1252709996	0.1930221948	3.68422684054731E-21	0.1111637259	0.6635494363	0.0313998326	0.0019324433	0.1061766596
C2orf89	0.0261312977	0.8283840242	0.1447067325	6.01232715749532E-12	0.2467800272	0.7024152514	0.1105221387	0.429849727	0.4633590602
TOMM34	0.9389651102	0.9331486231	0.9125480818	0.8768952182	0.8033228165	1.0523812593	0.8464274149	1.0069843125	0.9140024566
IFFO1	2.44090565379318E-06	0.3074909915	0.1330403875	0.2761646462	0.8758482639	0.1884737211	0.3577494581	0.1888899932	1.1395337326
HMGA1	1.0945221101	0.9713365404	0.9283230776	0.9217580558	0.8426969036	1.1065672203	0.8857738603	1.0229279839	0.960768817
KDSR	0.6174795347	0.7212576702	0.6800979104	0.7758005551	0.7099343734	0.8356567992	0.7051030072	0.6786491328	0.8384105581
BMP6	0.155140876	0.156959301	0.2616576824	0.3721745805	0.2262000916	0.1557291318	0.4477560083	0.5632395562	0.4496629056
ETV4	0.6193695759	1.1781924463	0.5697518133	0.3709983504	0.9395555199	1.2074733183	0.3284217418	1.1257722496	0.2788535587
PRDM8	5.52415089118534E-07	0.3897178294	4.60703411816983E-08	0.6160403299	0.1357766797	1.3513943808	0.1025696115	0.1300200738	0.5502234673
TMEM55A	0.3219332781	0.4287324274	0.3328929674	0.626595541	0.7817138434	0.8371486008	0.4790740495	0.6340827216	0.7796846941
TM4SF19-AS1	0.1834828825	0.2957774641	0.3283603862	0.3146054897	0.3893514631	1.0273637194	0.3378896955	0.5286391458	0.0121606204
CACYBP	1.0494209925	0.8878771463	0.8485432873	0.9328996947	0.8187620698	0.9692637664	0.9194742022	1.0458195869	0.9397597258
B4GALT6	0.2298244801	0.5456205462	0.2395290383	0.7068089073	0.8337624354	0.8088453222	0.4425593584	0.6502776935	0.2873918553
RP5-1160K1.6	0.4733707526	0.6557116011	0.5327602076	0.685682273	0.6215962274	0.6158147466	0.7354424042	1.0279186022	0.9029278184
TPBG	0.9949134707	0.145538539	0.7259583654	0.3299215388	0.3341986068	1.1083543052	0.620348327	0.4610294499	0.8607184962
LIX1L	4.19613304903571E-21	0.2687079923	0.234265657	0.7529830541	0.7504557337	0.9529434455	0.7257796661	1.0932626383	0.9155726377
DOCK10	0.1841764448	4.71591422647136E-05	1.20983841853902E-19	0.4921541709	0.7699978742	0.6746799752	0.3915543552	4.35253403876807E-05	1.0109960719
FKBP10	0.6654746698	0.6215534941	0.5680657032	0.6374806947	0.8769900194	1.0644430848	0.7169988596	1.1814402735	1.1061755168
NCBP2-AS1	0.7775604998	0.7607696895	0.7669225372	0.8298092886	0.7652443787	0.8041276366	0.7045236255	0.9541797886	0.7721361514
STC1	0.414728683	1.66158320194759E-18	0.1811374327	0.5586170046	0.4888774888	0.908718898	0.6377547469	0.4214473271	0.8865144356
ANPEP	0.1482396672	0.4583788648	0.1330313986	0.0440811691	0.2047637849	0.719219882	0.4138197135	0.372269062	1.2520985544
ARHGAP4	0.5378016079	0.6387300517	0.0809619602	0.7930819743	0.3509487055	0.4029779733	0.2566649743	0.9788196673	0.2024968139
RP11-82L18.2	0.3483330649	0.3882319403	0.1506906762	0.3284039033	0.2986808825	0.6339736252	0.2390554911	0.2831380315	0.4636251084
PLOD1	0.9008156048	0.7412946052	0.8992025576	0.6044941021	0.875319699	0.8685225487	0.949251008	1.0517324626	1.0734150843
MMP16	0.0913837561	3.00473374188853E-21	0.0022692275	0.6807691682	0.7556412664	0.3663012036	0.0802743731	0.2467253473	0.7417572478
NES	0.3848829401	0.6514849787	0.1126164104	0.5931493608	0.9293849236	0.542419456	0.2027794017	0.7969701458	0.8323418128
RASA3	0.3144119929	0.672199034	0.3577053113	0.4673574295	0.8374692408	1.0010298916	0.4989357172	0.7019978113	1.0394812735
DYRK2	0.7034268868	0.7742284848	0.6292759211	0.8288341183	0.6091689281	0.3603390249	0.7517605361	0.6471576781	0.7554425406
U47924.11	3.22795868976685E-05	0.122809301	0.1664354164	0.8260677961	0.3965893423	0.1349376358	0.1983412101	1.0020770024	0.923617057
CMTM3	0.0426654771	0.1924265982	0.6043536562	0.5704124157	0.7173190994	1.1359277749	0.8256607784	1.0229207166	0.781193011
IFT57	0.5935409438	0.6950212297	0.7857395772	0.7722950361	0.5841024112	0.8752073627	0.7659667105	0.7641056667	0.8163662014
GNG11	1.00103806410954E-13	0.1772011096	0.4875723171	0.1572501357	0.9593037672	0.921393744	1.2167601853	0.7072202728	1.1247279435
DOCK4	0.219619549	0.3774675535	1.87328469820359E-05	0.6632065599	0.6493673022	0.6538709056	0.5571163798	0.4213525461	0.4817220316
RPIA	0.8551453632	0.943569608	0.7099080583	0.8611492369	0.7232050535	0.9311509117	0.7537187381	1.0822965529	0.7043812199
SRPX	1.06259968705383E-06	0.3312271013	0.430923949	0.3025908733	1.1050829091	0.8884706808	0.4305890053	0.2208896347	1.1536954268
PODXL	0.6319886858	0.8668986321	0.6248165321	0.6772540017	0.3786808327	1.0027470319	0.7002392464	0.7291454622	0.7989920892
MME	0.1482656452	0.2496368574	0.4554423225	0.2224581934	0.620164184	0.5966482731	0.2904074189	0.1848543925	1.0049192082
RP11-443A13.3	0.0772513793	2.05325735684197E-21	4.89212917466626E-21	0.5427073167	0.0705377819	0.5114385766	0.3774095371	0.0854042604	1.2375428498
KCNMA1	0.1842352471	5.03174207742283E-21	9.54693364470943E-21	0.5907795205	0.1577536631	0.6711625674	0.4422538862	0.2010479035	1.2705913997
PKIA	0.2809925364	0.0223290517	0.0003489109	1.1605035287	0.2480512802	0.883902278	0.3596295242	5.16412773753345E-21	0.6177637472
SYT7	1.2018130705	0.5383627182	0.4924269868	0.9534674277	0.0642234287	0.1367547573	8.11065524303838E-05	0.4502004624	0.4799244357
KATNB1	0.6754657981	0.7426279371	0.6659627827	0.9064098266	0.6891040756	0.9055087772	0.6667042808	0.9394699693	0.7197402671
SLC9A5	0.4848167965	0.236925415	0.1435104267	0.3948039541	0.4345950156	0.4404662669	0.1576973539	0.7465555778	0.6326307186
CCDC69	0.488748193	0.4655641979	0.4695463556	0.1115977563	0.2990227457	0.6081946957	0.1470093206	0.6708434254	0.3972000938
RPL5	1.1005890873	0.9579152756	0.9609811859	0.9439469732	0.847891945	1.0168645273	0.9703791369	1.030219255	1.0420175613
RP13-516M14.1	0.5141996889	0.4494346809	0.5064000272	0.6587614085	0.485395801	0.6265807913	0.4035057177	0.7016918016	0.4537974201
ARHGAP22	0.0696838033	0.1330537927	0.1903173202	0.3499903018	0.344430981	0.7122866485	0.3657643561	0.2220640206	0.83431181
ADAM19	0.1815792903	0.3374300806	0.4438081509	0.4512423753	0.6067514501	1.1688964734	0.3492529514	0.3023865893	0.9792194228
GPR162	2.16625856638248E-17	0.0855256244	0.0625955237	0.8350503213	0.2365090895	0.0126091763	0.1713626248	0.9244649898	0.6129671108
RP11-736K20.5	0.3499355764	0.1347460505	0.1068164974	0.0803764506	0.2043721195	3.60370497564235E-14	0.1688988825	0.4944603287	0.5487538506
SERPINA1	0.5749885598	0.6141130917	0.1696539487	0.1268833881	0.2834006893	1.0439797416	0.6942897356	0.1316562305	0.1471651311
RP11-1299A16.3	0.2304793618	0.2356963279	4.66846995209186E-20	0.255918312	0.0344082218	0.3662158767	0.0085285251	0.084334882	0.4500430625
PTGER1	0.1863735226	0.1623574247	0.0147794146	0.2492962229	0.1377032883	0.2255328303	0.0456705508	0.3143115844	0.3723627179
RP11-221N13.3	1.03506839866185E-15	0.1301243707	0.137469656	2.30417724727587E-21	0.5771268409	1.0676703036	0.1436623354	0.2067290064	0.4236389936
NAV3	7.27092854383712E-10	0.2895901978	0.0952014484	0.1913578296	0.5174726805	0.915649867	0.369918439	0.2012005566	0.8186661834
DAP	1.0902422832	0.9084657479	0.8738407739	0.8775521264	0.7998572774	1.018080748	0.9504364576	0.9164116099	1.0474121537
ELTD1	0.0632705004	0.0864786594	1.58627777540434E-21	6.43682361822371E-05	0.1215314563	0.1503421865	0.029951221	1.19792730223768E-20	0.6247927586
ARC	0.1481649946	0.2941255801	0.1594292646	0.6887280618	0.2676622331	0.2907340458	2.7544398734509E-21	0.5157546017	0.3631601076
MME-AS1	0.0942423645	0.170193262	0.3458600711	0.139279853	0.5650200453	0.5100244596	0.1853198811	0.1436756811	0.847978529
EEF1A1P5	1.114849193	0.9634877075	0.9705894611	0.9511547388	0.863559761	1.0233939081	0.980252438	1.0299537579	1.0637805403
JAK3	0.3528170121	0.2061699603	0.1526854436	0.0976565774	0.2241486895	0.2405999324	0.2117227185	0.7232887306	0.2897456257
RP11-169D4.1	0.0722602603	0.0276461072	2.36526986773215E-06	0.1488286803	0.2363718	0.52866168	5.48877062746373E-21	0.1537228701	2.84161566866237E-21
PFAS	0.5675536646	0.7455686082	0.6409055956	0.8335271271	0.7300369226	0.8727091141	0.7241254979	1.2103675325	0.6731833638
TMEM158	0.0003614668	0.4268422735	0.2134501426	0.447690334	0.6814313967	1.2223845233	0.2049956664	0.5845629032	0.9007772721
INSC	0.0704326721	0.2387584242	1.2271563327178E-13	0.2690715584	0.2169631706	0.2598873145	0.0842300133	3.91312506471268E-21	0.2767348845
ARSJ	0.2637575114	0.4442097604	0.4650398281	0.3111709168	0.5088602467	1.1243610362	0.8067013235	0.0008376299	0.9697990451
GNL3	1.0506890318	0.9436183642	0.8654587707	0.9109361948	0.8284968924	0.9953777573	0.8993174208	1.0476489001	0.9667463019
GLUD1	1.0261251929	0.9367802868	0.9135174586	0.828000459	0.7772893057	0.9672284858	0.9178321738	1.0275462626	0.9787361542
C11orf68	0.8445768657	0.7344324777	0.7775551811	0.6812364704	0.7580422755	1.2141566431	0.820993312	0.8501010599	0.9526070409
GPR4	0.0002939792	0.0508820755	5.8242658535323E-21	0.2209823626	0.1076247861	0.2372772229	1.84753685862196E-21	0.401986371	0.2513242837
DUSP22	0.6468469194	0.547230041	0.5783800015	0.7222521602	0.679020985	0.565130202	0.7022086947	0.7784223854	0.6427342669
RP11-153M7.3	0.0252177858	0.036385071	0.0646955981	0.1172956393	0.0555819351	0.0999393929	0.0585909027	0.0524365765	0.0281223029
PITX3	8.17312158806784E-12	0.0808625303	0.0742990492	0.1470220436	8.15403797898802E-08	0.0965963021	0.1701882407	0.5249615204	0.1186066805
KRAS	0.6642572186	0.6974054927	0.5261647595	0.6937218047	0.5151417432	0.635800314	0.4942375777	0.8274859415	0.6225935166
NPR2	0.1697942218	0.6282326995	0.2668111654	0.561916245	0.4877826946	0.3985654692	0.3655325202	0.2875749879	0.989017989
PREX1	0.492716565	0.0866795575	0.2977612994	0.5070452625	0.8301865031	0.1966666835	0.2199798653	0.9173721508	0.7610183377
ABCC4	0.1634131532	0.6963734915	0.4510322988	0.5419177033	0.5597182124	0.6811373258	0.9032927012	0.9024325693	0.6760641535
SPRED3	0.2668900861	0.212442185	0.0347474254	0.2944155506	0.2807936338	0.4157973601	0.1530546795	0.605461215	0.5448127043
ANTXR2	0.1496372834	0.7473489145	0.1953401695	0.5605291645	0.4826404267	1.4536235134	0.2638008363	0.0649922785	0.9240204488
CDH5	0.3114965698	3.02580384880737E-21	0.3221235943	0.0851359501	0.1369613856	0.1962804395	0.1127032795	0.2261434957	0.0913634125
SSBP3	0.7206603108	0.6762126332	0.6146049033	0.9776353663	0.5480991981	0.370940981	0.5136586579	0.953660902	0.8891500683
CDCP1	1.1135274985	0.9004996118	0.6879007759	0.287110778	0.1451717662	1.7579143066	0.7882813569	0.1237034494	0.2327524848
GLRX	0.5569675326	0.6280014149	0.3238931129	0.3986463802	0.5767476023	0.9502521926	0.8274976453	0.4097188096	0.9727908026
EFHD2	0.8618081493	0.9871844849	0.9252402277	0.7489647755	0.816474726	1.2030166882	0.8733846793	0.8367819864	0.85811122
CHGB	5.18841359375682E-06	0.2449058657	0.0618250811	1.4561259305	0.2213438379	0.4341850457	0.076112471	0.3845363222	0.1079871988
UNC13A	0.1078360149	0.2610295938	2.7199454189603E-09	1.1373894107	0.1672734598	0.2330388724	6.69438686074048E-19	0.6932487683	0.3139832142
PLAT	0.3103288891	0.3049069081	0.814402163	0.2651946436	1.0821545876	1.4825157094	0.3453546085	0.139293129	0.8895137462
ANXA2R	0.427516206	0.290020493	0.2026244138	0.4004581437	0.2838936629	0.4616481853	0.4152507603	0.6898501667	0.3835708409
AC112721.1	2.99103975101389E-14	0.0499768831	1.37171162807617E-21	0.0832218167	0.1360285002	0.1711644177	0.0049570226	5.21627582846074E-21	0.5201582686
FLT1	0.1447775921	0.0674519929	0.0910195198	0.1496204863	0.5771912741	4.84755087767831E-21	7.37892932385608E-07	1.85761257205866E-09	0.4514475019
AC016683.6	0.2618971381	0.8527582221	0.4869545828	0.342815089	0.3341556062	0.6534874388	0.7826693289	0.3278225122	0.4733292226
ELK3	0.4486763548	0.5892007738	0.695578301	0.3435414922	0.7701548118	1.4670558774	0.7073714929	0.8123157827	0.8098329137
HGF	2.31106863984384E-11	0.1431019373	0.0281160159	0.2068279466	0.0666261299	0.0137641241	1.55929975212694E-10	0.4454926768	0.693768709
SPTLC1P3	0.0501199331	0.0240468788	0.0037880373	0.0268839591	0.0342742699	0.0378511647	0.0298153689	0.03679116	0.0339066111
PYGB	0.9904893196	0.9402178709	0.8679868186	0.8854496811	0.8783532964	1.0109924747	0.9334621666	0.919849358	0.9886532792
NELF	0.8133195986	0.9030125936	0.7840807652	0.8830456327	0.6802044257	0.8004559486	0.6461290385	1.0288456849	0.8137647858
RAB13	1.0498281626	0.805497991	0.825417859	0.6914093011	0.8375338476	0.8880307288	0.939454137	1.0321020621	1.0632295043
SATB2	0.1706118854	0.735373301	0.1392467538	0.6957277654	0.5782887474	0.6836587599	0.245598365	0.5220416208	0.6204170299
RHOH	0.3211642845	0.0618808112	6.34273163847492E-21	0.2054675818	0.0862931057	1.3729902388329E-12	0.0001344099	0.42276967	0.1479315581
C6orf1	0.7893396646	0.6066220174	0.5030031255	0.6303506723	0.8419546646	0.9070777501	0.6468114325	0.7552633308	0.8944967123
FAM92A1	0.0878296928	0.3702713801	0.6010042261	0.7901361569	0.6001555738	0.7155385592	0.5053679019	0.8652683768	0.7140847392
TRBC2	0.3242124448	0.3671899546	0.0989850448	0.2426241093	0.2520386659	1.0395566732	0.2129605365	0.1111477277	0.3441233891
MPG	0.885090009	0.8378064635	0.7769004099	0.6459161104	0.8166881957	0.8353799438	0.793158808	0.9635314826	0.9668855583
SRD5A1	0.7380016385	0.8009769293	0.7551411771	0.8679716732	0.5685800164	0.8709106189	0.7290901813	0.7580560843	0.7319169116
IL27RA	0.5369760622	0.4736341235	0.4870477206	0.3814954102	0.497729185	0.8950391419	0.4431305906	1.1781204437	0.394795698
B3GALT1	5.20522363324281E-21	0.1150804686	1.43506968303392E-21	0.4974878465	0.4967099057	0.0668286762	0.1733199757	0.3164589182	0.1785550497
SLC6A15	2.9211996819907E-21	3.56025684124028E-21	0.4239726354	0.9926151854	0.8511152667	0.326724134	0.1957602859	1.02354058879533E-11	0.1737416352
CALCRL	4.74091156541942E-21	0.0814474508	0.231332733	0.2756306095	0.0985250435	0.1025511596	0.3200329793	0.4485092703	0.3606152394
PLEKHO2	0.32631003	0.4554131999	0.5254560476	0.4050594042	0.8297204023	0.5397378327	0.4039627368	0.8232013026	0.9606227667
RP11-549B18.1	0.2703922077	0.4166403808	0.1354622719	0.5530482674	0.6362720431	0.5018239549	0.2480168138	0.5302474948	0.1199422333
GEMIN5	0.6586735031	0.7297973276	0.6055176023	0.7377738796	0.674353614	0.8457983521	0.6501779778	1.1206564713	0.6688221951
YBX1P1	0.9715847606	0.9326731342	0.9318867431	0.9392519103	0.8301993203	0.9970233131	0.9424913075	1.0098369682	0.9869669131
SYP	0.2233479311	0.3998201705	0.1038746638	1.2620540109	0.3817724831	0.23694721	0.0919319405	0.7002476852	0.2552190249
IL21R	0.0648487347	0.1262153921	0.0726800444	0.21719928	0.1632366641	0.0953917235	0.0740078535	0.3568647103	0.6333353664
ITGA5	0.3643357404	0.1771948651	0.8207443891	0.0602936019	0.7167766152	1.2451211588	0.8802660632	0.873932941	1.1388750465
CHST2	3.29576358282582E-14	0.0067854855	0.3862224107	0.5657697914	0.8026514284	0.2620742289	0.524586781	0.2808594349	0.7237354318
CTHRC1	0.4365569193	0.1767215462	0.3353471565	0.6757051718	0.8221843365	1.0662413526	0.4602783667	0.1235281501	0.8375962925
EEF1A1P19	0.8267253922	0.9088359368	0.8100577549	0.7156027214	0.7005493644	0.8650981501	0.812233465	1.0408570781	0.9107302418
RP11-567J20.2	2.10281224563634E-15	0.0227116024	0.0719091925	0.0935957483	0.0139962478	0.0160574074	1.467873072076E-18	7.30592413006784E-05	0.3653076547
CNIH3	0.2777023037	0.196011684	2.83476652030264E-13	0.3380338836	0.6931502372	0.5959543274	0.1587449121	0.3761805198	0.545930115
COPS8	0.841985664	0.7584775906	0.721859326	0.8871770246	0.8033237493	0.9733694854	0.8202028799	0.908597823	0.9481663212
RPL4	1.1098436813	0.9611862369	0.9656541908	0.9464471159	0.8583002203	1.0190666605	0.9748647591	1.0300705536	1.0530225836
EIF3E	1.0594440652	0.9568382603	0.9382951635	0.92136504	0.8205216632	1.0208498376	0.9397444704	1.043272372	0.9747947442
FRMD4A	0.4696227046	0.2364424698	0.242002906	0.3986740635	0.7313149946	0.4483969126	0.4665936265	0.4981441534	0.8856909999
TEX10	0.53231243	0.6803494929	0.6200095303	0.6946031096	0.633126329	0.7490413113	0.5222744117	0.9493020175	0.6509344731
LINC00460	0.0522179256	0.3808390739	1.10643583525336E-19	5.77047152583503E-14	0.2353781261	1.4030084796	0.2395435356	0.0088580412	0.1914676147
FAM43A	0.3275004974	0.6865269934	0.6133460872	0.6012755725	0.7078549843	0.4211138449	1.65224347965711E-07	0.5257818965	0.8657315566
CTA-221G9.10	0.4090254541	0.3617031691	0.1435224835	1.1170536181	0.4906563874	0.8373368889	0.3124331277	0.5568779851	0.4870555524
AC002303.5	0.0918632083	0.0937226677	0.0691440938	0.2607680841	0.1326525445	0.0431127292	0.0725311398	0.404652056	0.5761934222
LRWD1	0.7880659895	0.7262105853	0.6396029438	0.8270449052	0.7888724624	0.7996141255	0.69361866	1.0031727368	0.8117887511
TMEM231	0.4861779784	0.5080074501	0.4193394304	0.6448085467	0.5253872173	0.6086626774	0.5208384753	0.8551358371	0.6731479972
CENPV	0.2489487666	1.1668052319	0.5909888098	1.1300505406	0.207740141	0.8997552457	0.4088444742	1.2017350039	0.575712606
SPRY4	0.6708204769	0.9126822097	0.1377041455	0.251995989	0.9244947888	0.8934238409	0.1610215354	1.0308133058	0.6726446738
CLDN14	0.0311802132	0.1326645561	0.0234075035	0.0139106675	0.3343238026	0.2432854942	0.2167263266	3.9227811538519E-09	0.2378726862
SHANK1	2.3775963750327E-21	0.0913691446	4.37921003166571E-21	0.3675691877	0.2815317432	0.2299059807	2.73132228160993E-21	0.509933914	0.4274202987
EEF1A1P6	1.1106038801	0.9620134998	0.96750822	0.948445175	0.8595256726	1.0202039964	0.9790462682	1.0281623288	1.059579023
CACNG8	5.38589979758727E-13	0.2661403265	0.0406033754	0.0598229433	0.0519806024	0.566358182	0.048210814	0.9930151344	0.2868456508
SLC9A3R2	1.1382708305	0.6628218279	0.4192998019	0.4891426843	0.4429118793	0.9558264131	0.5430758144	0.8633543476	0.9590738876
TMTC4	0.6942072923	0.6796728805	0.4044740753	0.9100725772	0.5714617552	0.4404190341	0.7262991389	0.8300507138	0.5422113885
ZNF883	0.3809756562	0.0489021328	0.0886065814	0.5117724043	0.3668479602	0.3344063316	0.1892805234	0.5423904935	0.6344946601
RP5-1120P11.1	0.3113065035	0.3871027594	0.1639901121	0.4118426249	0.2047685025	0.444658298	0.4971753863	0.327620727	0.2378754197
LRRC73	0.4062984638	0.3559045469	0.1907299808	0.3618060792	0.2834713919	8.0943474554468E-07	0.1515688042	0.6517918965	0.4826683605
