	Feature 0	Feature 1	Feature 2	Feature 3	Feature 4	Feature 5	Feature 6	Feature 7	Feature 8	Feature 9	Feature 10	Feature 11	Feature 12	Feature 13	Feature 14	Feature 15	Feature 16	Feature 17	Feature 18	Feature 19	Feature 20	Feature 21	Feature 22	Feature 23	Feature 24	Feature 25	Feature 26	Feature 27	Feature 28	Feature 29
Feature 10	0.53252414122193	0.9069771246891781	0.14131419443598953	0.5619401469642861	0.07025417688457453	0.09784324692386676	0.2191892573324254	0.7543476516475287	0.5408590511866108	0.09644545055721049	0.0	0.0912620530780272	0.7570108705024589	0.8422533009484472	0.22807630833855147	0.34430934591763696	0.908271294670163	0.7814850260594782	0.13223366490868393	0.46793873913532064	0.07729394296570113	0.6505647251062443	0.6605193445283654	0.10445510382876588	0.6020578544764394	0.8017509197830436	0.33398523717511974	0.8923765733899331	0.8622043246344051	0.532963737949745
Feature 11	0.6184993138431276	0.9128229647789123	0.09795480105321858	0.6729463609769637	0.11191141516996506	0.08793421757933678	0.13276290752228764	0.8489044655939888	0.4498133530489542	0.08668838755849129	0.0912620530780272	0.0	0.8509108802507861	0.8968814225199526	0.3264547292506638	0.4539810330697925	0.9200769526782535	0.6897630984870109	0.22847130786135905	0.5671498117050287	0.09050119779691923	0.543443546731006	0.5485538815910322	0.09008175879914282	0.5242220189099288	0.8792682120872104	0.44842552900666033	0.8033365835619921	0.7653972277533736	0.43434680038729445
Feature 12	0.12513321123742588	0.19060203700277767	0.9359178238336623	0.10489903233798653	0.6711626404285381	0.8650320079252317	0.9463131944426271	0.054552762894139906	0.8127298405754678	0.8590210366981861	0.7570108705024589	0.8509108802507861	0.0	0.0588052031126966	0.5219826606254722	0.3796521233799818	0.15533399110890073	0.4724414255211216	0.5643278701541873	0.16158608755398035	0.7648354831321638	0.6260353251715137	0.6150777697883106	0.8917517079105121	0.6869291617070163	0.054092087092519336	0.39079870728676824	0.41811808664298367	0.43878545702941624	0.8365238314293466
Feature 13	0.19211968047665112	0.12379964935587551	0.9424659589474583	0.1554444443411439	0.7621067988204174	0.8997354651844746	0.9440682661793569	0.059222137181222434	0.7219907295162071	0.8968002887189832	0.8422533009484472	0.8968814225199526	0.0588052031126966	0.0	0.5413967625311145	0.4338606118242915	0.10493107017761161	0.44655281303478184	0.6185753297700576	0.2473082879880401	0.8480912955053419	0.5697430510362819	0.5628382373121046	0.916352364772782	0.6110733620382394	0.05455759271057009	0.44079669300879504	0.35422542813753327	0.3863969094401406	0.7503222117269446
Feature 14	0.3152327903747581	0.7096724104360892	0.4498598505250511	0.3644869909693297	0.13905728845888388	0.36689003864399755	0.47516496913201806	0.4781198781053133	0.7837366985226485	0.3555509035877239	0.22807630833855147	0.3264547292506638	0.5219826606254722	0.5413967625311145	0.0	0.09649419017689276	0.6844377167695546	0.9080202020193526	0.09589327041095441	0.25115659460183604	0.23897211025427983	0.9024797216928289	0.9043646034502942	0.4005823742509699	0.8834072689602637	0.5285960211901679	0.0947719216909843	0.9014824506569052	0.9044056174906002	0.7524018791792431
Feature 15	0.19348227083741615	0.5950372633802038	0.5553695500367952	0.2156498559038616	0.24731432445095658	0.4721600270317866	0.6045567787446589	0.37784125857415685	0.898781664507589	0.46798554434511125	0.34430934591763696	0.4539810330697925	0.3796521233799818	0.4338606118242915	0.09649419017689276	0.0	0.555704776572375	0.899885433507752	0.12636004288641206	0.12815585054592837	0.35397033514549886	0.9322527304491566	0.9300175855779582	0.5287542911886732	0.9355167834940032	0.40893332351809586	0.07147803849515139	0.8563566649327556	0.8762753638999201	0.8750407156544744
Feature 16	0.39657335512757574	0.08837605710863117	0.9012612050192921	0.34095714642606245	0.8911565702054631	0.9135727007601001	0.8619132861288381	0.1574175616831105	0.5411931535233516	0.9146969540594225	0.908271294670163	0.9200769526782535	0.15533399110890073	0.10493107017761161	0.6844377167695546	0.555704776572375	0.0	0.3025945840523659	0.7776664900223356	0.4439032756025437	0.9088463250507037	0.44724575084897744	0.44140659935470794	0.9112750215773365	0.47005120044743687	0.12497746265023219	0.5620170349931858	0.18967419815800585	0.22869012870067223	0.5547564512437314
Feature 17	0.6661688206132501	0.2841030153528864	0.5639411910939879	0.6139804013690721	0.8683224534377456	0.6529946266257136	0.5319430919359537	0.4728449343043005	0.2320635287611918	0.6638332734228144	0.7814850260594782	0.6897630984870109	0.4724414255211216	0.44655281303478184	0.9080202020193526	0.899885433507752	0.3025945840523659	0.0	0.9039925112395735	0.7328713401970263	0.7700575434205138	0.10147654385317018	0.09896677179910035	0.618834467407796	0.12525969420138006	0.46280613146316535	0.9021932053377093	0.0975619005561415	0.09591886520420867	0.2635518522807416
Feature 18	0.4055509558057329	0.8017957549930312	0.3640304403188012	0.447706835256534	0.07764360093867767	0.25952136605419707	0.424204695282494	0.5631566391603926	0.6930183996095155	0.2502979922188301	0.13223366490868393	0.22847130786135905	0.5643278701541873	0.6185753297700576	0.09589327041095441	0.12636004288641206	0.7776664900223356	0.9039925112395735	0.0	0.34184546984731706	0.14177718142096085	0.8703511821691967	0.8765226333736931	0.2924555455274528	0.8244064365226341	0.5876909314910413	0.12043972861757285	0.9318380841421279	0.9265274757611842	0.6616803867488599
Feature 19	0.09475739908897135	0.46901580777359403	0.727141560943989	0.08983308412100433	0.43749376300963183	0.6017688955786566	0.8193974020861305	0.15964513452355378	0.9277593059148888	0.5915872280727552	0.46793873913532064	0.5671498117050287	0.16158608755398035	0.2473082879880401	0.25115659460183604	0.12815585054592837	0.4439032756025437	0.7328713401970263	0.34184546984731706	0.0	0.4700811984096084	0.8774990442120485	0.8661862308027428	0.6379674256823938	0.9145157336288003	0.20021851569247834	0.1406025832865021	0.6339243658139703	0.6626800357381794	0.923565327586948
Feature 20	0.5355492770268949	0.9066127652848559	0.13628431323462842	0.5668981329379797	0.07415693760867537	0.09648713844960616	0.21162070557477197	0.7621895842252531	0.5376470138458966	0.09529684444407832	0.07729394296570113	0.09050119779691923	0.7648354831321638	0.8480912955053419	0.23897211025427983	0.35397033514549886	0.9088463250507037	0.7700575434205138	0.14177718142096085	0.4700811984096084	0.0	0.6410393476622369	0.6507422082632885	0.10220026903435608	0.5944236432193092	0.8089236840536487	0.34388054078470254	0.884476470519669	0.8523590604943623	0.5307166087906379
Feature 21	0.8138595979202323	0.4090071160075729	0.4415878628330717	0.7913342359651856	0.7468966249772626	0.5262028326309638	0.39025501375920757	0.6278984838289261	0.0968068065763637	0.5301281677720137	0.6505647251062443	0.543443546731006	0.6260353251715137	0.5697430510362819	0.9024797216928289	0.9322527304491566	0.44724575084897744	0.10147654385317018	0.8703511821691967	0.8774990442120485	0.6410393476622369	0.0	0.06897896977149326	0.47010772553093244	0.06269978695855849	0.595765186562452	0.9294398255807614	0.1476803335109228	0.12687751108163908	0.11943304830384233
Feature 22	0.7994131400611474	0.4010791486776317	0.4474054457713091	0.7777355341387846	0.7580208643737196	0.5294804060058896	0.400237751741426	0.6168385849462512	0.105692800299645	0.5338920342350445	0.6605193445283654	0.5485538815910322	0.6150777697883106	0.5628382373121046	0.9043646034502942	0.9300175855779582	0.44140659935470794	0.09896677179910035	0.8765226333736931	0.8661862308027428	0.6507422082632885	0.06897896977149326	0.0	0.47224783337623644	0.06634949543553381	0.5867357009737851	0.9275169792298357	0.1400612772505485	0.12096748231186633	0.1304966894944415
Feature 23	0.6957706270388473	0.9057016793171698	0.08226797231903826	0.7330951171959807	0.1500990893130299	0.09577571273109614	0.09826257628116436	0.890443004726861	0.38740244818967906	0.09614752164400592	0.10445510382876588	0.09008175879914282	0.8917517079105121	0.916352364772782	0.4005823742509699	0.5287542911886732	0.9112750215773365	0.618834467407796	0.2924555455274528	0.6379674256823938	0.10220026903435608	0.47010772553093244	0.47224783337623644	0.0	0.45404649798355673	0.9083169690872188	0.5266965481947263	0.7401082681309926	0.701366487563537	0.3640661761985017
Feature 24	0.8697744865228855	0.4436895099256998	0.4058783082842335	0.8523119946733784	0.6851868427712869	0.4692249537836372	0.33373825741069674	0.6892328330091559	0.06963804306152133	0.47293678771202463	0.6020578544764394	0.5242220189099288	0.6869291617070163	0.6110733620382394	0.8834072689602637	0.9355167834940032	0.47005120044743687	0.12525969420138006	0.8244064365226341	0.9145157336288003	0.5944236432193092	0.06269978695855849	0.06634949543553381	0.45404649798355673	0.0	0.6477571708851647	0.9313059514514002	0.2005173857368412	0.17147204374275082	0.08349385762063116
Feature 25	0.15278681304074387	0.15310147292196163	0.9418209122307948	0.12347144844684466	0.7150237797636287	0.8874992832615028	0.9475270027165398	0.05435124120060131	0.7703812719658041	0.8832142925463355	0.8017509197830436	0.8792682120872104	0.054092087092519336	0.05455759271057009	0.5285960211901679	0.40893332351809586	0.12497746265023219	0.46280613146316535	0.5876909314910413	0.20021851569247834	0.8089236840536487	0.595765186562452	0.5867357009737851	0.9083169690872188	0.6477571708851647	0.0	0.41806644375653335	0.3898963124416912	0.41634479821489656	0.7975517106714826
Feature 26	0.2088173946899859	0.6034315927097129	0.549554202246171	0.2297780000918232	0.23604644197160407	0.46853192583155845	0.5944314524603072	0.38909558028746166	0.8888600681369629	0.463846764246581	0.33398523717511974	0.44842552900666033	0.39079870728676824	0.44079669300879504	0.0947719216909843	0.07147803849515139	0.5620170349931858	0.9021932053377093	0.12043972861757285	0.1406025832865021	0.34388054078470254	0.9294398255807614	0.9275169792298357	0.5266965481947263	0.9313059514514002	0.41806644375653335	0.0	0.8637638602878734	0.8819305266972355	0.862848579775436
Feature 27	0.5759391807442599	0.16522438069197198	0.6652071560650274	0.5397358381020396	0.9343299778637553	0.7722118525809761	0.595884136869372	0.4195673427128014	0.333297034383096	0.7811603347365643	0.8923765733899331	0.8033365835619921	0.41811808664298367	0.35422542813753327	0.9014824506569052	0.8563566649327556	0.18967419815800585	0.0975619005561415	0.9318380841421279	0.6339243658139703	0.884476470519669	0.1476803335109228	0.1400612772505485	0.7401082681309926	0.2005173857368412	0.3898963124416912	0.8637638602878734	0.0	0.06967561674124945	0.36277521191911855
Feature 28	0.5981168559743557	0.20503756854292832	0.6305831393421624	0.5549366067536734	0.9194225558914066	0.734410642877726	0.5722027815136985	0.43990432409411656	0.3021768811314314	0.7436797360442274	0.8622043246344051	0.7653972277533736	0.43878545702941624	0.3863969094401406	0.9044056174906002	0.8762753638999201	0.22869012870067223	0.09591886520420867	0.9265274757611842	0.6626800357381794	0.8523590604943623	0.12687751108163908	0.12096748231186633	0.701366487563537	0.17147204374275082	0.41634479821489656	0.8819305266972355	0.06967561674124945	0.0	0.333763376736741
Feature 29	0.9053311946743052	0.5301676029926718	0.2752167761756037	0.9099436853690241	0.5644905430961374	0.40004351225154866	0.18269039984599034	0.8384887603567011	0.07124506459545504	0.4101481071192212	0.532963737949745	0.43434680038729445	0.8365238314293466	0.7503222117269446	0.7524018791792431	0.8750407156544744	0.5547564512437314	0.2635518522807416	0.6616803867488599	0.923565327586948	0.5307166087906379	0.11943304830384233	0.1304966894944415	0.3640661761985017	0.08349385762063116	0.7975517106714826	0.862848579775436	0.36277521191911855	0.333763376736741	0.0
