Cell Line Name	Best Cell Line Name
BT20	BT20
BT20_BREAST	BT20
BT-20	BT20
CDDB:90	BT20
ACH-000536	BT20
idCell:53	BT20
BT216	BT216
CDDB:91	BT216
idCell:1207	BT216
BT224	BT224
CDDB:92	BT224
idCell:1184	BT224
BT228	BT228
CDDB:93	BT228
idCell:1198	BT228
BT231	BT231
CDDB:94	BT231
idCell:1199	BT231
BT239	BT239
CDDB:95	BT239
idCell:1200	BT239
BT248	BT248
CDDB:96	BT248
idCell:1208	BT248
BT474	BT474
BT474_BREAST	BT474
BT-474	BT474
CDDB:97	BT474
ACH-000927	BT474
idCell:54	BT474
BT483	BT483
BT483_BREAST	BT483
BT-483	BT483
CDDB:98	BT483
ACH-000818	BT483
idCell:942	BT483
BT549	BT549
BT549_BREAST	BT549
BT-549	BT549
CDDB:99	BT549
ACH-000288	BT549
idCell:55	BT549
BV173	BV173
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BV173
BV-173	BV173
CDDB:100	BV173
ACH-000432	BV173
idCell:56	BV173
BXPC3	BXPC3
BXPC3_PANCREAS	BXPC3
BxPC-3	BXPC3
CDDB:101	BXPC3
ACH-000535	BXPC3
idCell:57	BXPC3
C2BBE1	C2BBE1
C2BBE1_LARGE_INTESTINE	C2BBE1
C2BBe1	C2BBE1
CDDB:102	C2BBE1
ACH-000009	C2BBE1
idCell:58	C2BBE1
C32	C32
C32_SKIN	C32
CDDB:103	C32
ACH-000580	C32
idCell:59	C32
C3A	C3A
C3A_LIVER	C3A
CDDB:104	C3A
ACH-001021	C3A
idCell:60	C3A
C8166	C8166
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	C8166
CDDB:105	C8166
ACH-000206	C8166
CA46	CA46
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CA46
CDDB:106	CA46
ACH-000440	CA46
idCell:61	CA46
CACO2	CACO2
CACO2_LARGE_INTESTINE	CACO2
CDDB:107	CACO2
ACH-000003	CACO2
CADOES1	CADOES1
CADOES1_BONE	CADOES1
CADO-ES1	CADOES1
CDDB:108	CADOES1
ACH-000210	CADOES1
idCell:62	CADOES1
CAKI1	CAKI1
CAKI1_KIDNEY	CAKI1
Caki-1	CAKI1
CDDB:109	CAKI1
ACH-000433	CAKI1
idCell:63	CAKI1
CAKI2	CAKI2
CAKI2_KIDNEY	CAKI2
Caki-2	CAKI2
CDDB:110	CAKI2
ACH-000234	CAKI2
idCell:64	CAKI2
CAL120	CAL120
CAL120_BREAST	CAL120
CAL-120	CAL120
CDDB:111	CAL120
ACH-000212	CAL120
idCell:65	CAL120
CAL12T	CAL12T
CAL12T_LUNG	CAL12T
CAL-12T	CAL12T
CDDB:112	CAL12T
ACH-000826	CAL12T
idCell:66	CAL12T
CAL148	CAL148
CAL148_BREAST	CAL148
CAL-148	CAL148
CDDB:113	CAL148
ACH-000902	CAL148
idCell:67	CAL148
CAL27	CAL27
CAL27_UPPER_AERODIGESTIVE_TRACT	CAL27
CAL 27	CAL27
CAL-27	CAL27
CDDB:114	CAL27
ACH-000832	CAL27
idCell:68	CAL27
CAL29	CAL29
CAL29_URINARY_TRACT	CAL29
CAL-29	CAL29
CDDB:115	CAL29
ACH-000142	CAL29
idCell:69	CAL29
CAL33	CAL33
CAL33_UPPER_AERODIGESTIVE_TRACT	CAL33
CAL-33	CAL33
CDDB:116	CAL33
ACH-000518	CAL33
idCell:70	CAL33
CAL51	CAL51
CAL51_BREAST	CAL51
CAL-51	CAL51
CDDB:117	CAL51
ACH-000856	CAL51
idCell:71	CAL51
CAL54	CAL54
CAL54_KIDNEY	CAL54
CAL-54	CAL54
CDDB:118	CAL54
ACH-000457	CAL54
idCell:72	CAL54
CAL62	CAL62
CAL62_THYROID	CAL62
CAL-62	CAL62
CDDB:119	CAL62
ACH-000174	CAL62
idCell:73	CAL62
CAL78	CAL78
CAL78_BONE	CAL78
CAL-78	CAL78
CDDB:120	CAL78
ACH-000516	CAL78
idCell:74	CAL78
CAL851	CAL851
CAL851_BREAST	CAL851
CAL-85-1	CAL851
CDDB:121	CAL851
ACH-000857	CAL851
idCell:75	CAL851
CALU1	CALU1
CALU1_LUNG	CALU1
Calu-1	CALU1
CDDB:122	CALU1
ACH-000511	CALU1
idCell:76	CALU1
CALU3	CALU3
CALU3_LUNG	CALU3
Calu-3	CALU3
CDDB:123	CALU3
ACH-000392	CALU3
idCell:77	CALU3
CALU6	CALU6
CALU6_LUNG	CALU6
Calu-6	CALU6
CDDB:124	CALU6
ACH-000264	CALU6
idCell:78	CALU6
CAMA1	CAMA1
CAMA1_BREAST	CAMA1
CAMA-1	CAMA1
CDDB:125	CAMA1
ACH-000783	CAMA1
idCell:79	CAMA1
CAOV3	CAOV3
CAOV3_OVARY	CAOV3
Caov-3	CAOV3
CDDB:126	CAOV3
ACH-000713	CAOV3
idCell:80	CAOV3
CAOV4	CAOV4
CAOV4_OVARY	CAOV4
Caov-4	CAOV4
CDDB:127	CAOV4
ACH-000103	CAOV4
idCell:81	CAOV4
CAPAN1	CAPAN1
CAPAN1_PANCREAS	CAPAN1
Capan-1	CAPAN1
CDDB:128	CAPAN1
ACH-000354	CAPAN1
idCell:82	CAPAN1
CAPAN2	CAPAN2
CAPAN2_PANCREAS	CAPAN2
Capan-2	CAPAN2
CDDB:129	CAPAN2
ACH-000107	CAPAN2
idCell:83	CAPAN2
CAS1	CAS1
CAS1_CENTRAL_NERVOUS_SYSTEM	CAS1
CAS-1	CAS1
CDDB:130	CAS1
ACH-000464	CAS1
idCell:84	CAS1
CCFSTTG1	CCFSTTG1
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	CCFSTTG1
CCF-STTG1	CCFSTTG1
CDDB:131	CCFSTTG1
ACH-000329	CCFSTTG1
idCell:85	CCFSTTG1
CCK81	CCK81
CCK81_LARGE_INTESTINE	CCK81
CCK-81	CCK81
CDDB:132	CCK81
ACH-000963	CCK81
idCell:86	CCK81
CCRFCEM	CCRFCEM
CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCRFCEM
CCRF-CEM	CCRFCEM
CDDB:133	CCRFCEM
ACH-001738	CCRFCEM
idCell:1047	CCRFCEM
CCRFHSB2	CCRFHSB2
CDDB:134	CCRFHSB2
idCell:1049	CCRFHSB2
CCRFSB	CCRFSB
CDDB:135	CCRFSB
idCell:1050	CCRFSB
CEMC1	CEMC1
CDDB:137	CEMC1
idCell:1048	CEMC1
CFPAC1	CFPAC1
CFPAC1_PANCREAS	CFPAC1
CFPAC-1	CFPAC1
CDDB:138	CFPAC1
ACH-000138	CFPAC1
idCell:87	CFPAC1
CGTHW1	CGTHW1
CGTHW1_THYROID	CGTHW1
CGTH-W-1	CGTHW1
CDDB:139	CGTHW1
ACH-001023	CGTHW1
idCell:88	CGTHW1
CH157MN	CH157MN
CH157MN_CENTRAL_NERVOUS_SYSTEM	CH157MN
CDDB:140	CH157MN
ACH-000025	CH157MN
idCell:1063	CH157MN
CHAGOK1	CHAGOK1
CHAGOK1_LUNG	CHAGOK1
ChaGo-K-1	CHAGOK1
CDDB:141	CHAGOK1
ACH-000867	CHAGOK1
idCell:89	CHAGOK1
CHL1	CHL1
CHL1_SKIN	CHL1
CHL-1	CHL1
CDDB:142	CHL1
ACH-001024	CHL1
idCell:90	CHL1
CHP126	CHP126
CHP126_AUTONOMIC_GANGLIA	CHP126
CHP-126	CHP126
CDDB:143	CHP126
ACH-000136	CHP126
idCell:91	CHP126
CHP212	CHP212
CHP212_AUTONOMIC_GANGLIA	CHP212
CHP-212	CHP212
CDDB:144	CHP212
ACH-000120	CHP212
idCell:92	CHP212
CI1	CI1
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CI1
CI-1	CI1
CDDB:145	CI1
ACH-000687	CI1
idCell:93	CI1
CJM	CJM
CJM_SKIN	CJM
CDDB:146	CJM
ACH-000458	CJM
idCell:830	CJM
CL11	CL11
CL11_LARGE_INTESTINE	CL11
CL-11	CL11
CDDB:147	CL11
ACH-000249	CL11
idCell:94	CL11
CL14	CL14
CL14_LARGE_INTESTINE	CL14
CL-14	CL14
CDDB:148	CL14
ACH-000342	CL14
idCell:944	CL14
CL34	CL34
CL34_LARGE_INTESTINE	CL34
CL-34	CL34
CDDB:149	CL34
ACH-000895	CL34
idCell:95	CL34
CL40	CL40
CL40_LARGE_INTESTINE	CL40
CL-40	CL40
CDDB:150	CL40
ACH-000798	CL40
idCell:948	CL40
CMK	CMK
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK
CDDB:151	CMK
ACH-000641	CMK
idCell:98	CMK
CMK115	CMK115
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK115
CDDB:152	CMK115
ACH-001036	CMK115
idCell:96	CMK115
CMK86	CMK86
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK86
CMK-86	CMK86
CDDB:153	CMK86
ACH-001037	CMK86
idCell:97	CMK86
CMLT1	CMLT1
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMLT1
CML-T1	CMLT1
CDDB:154	CMLT1
ACH-000920	CMLT1
idCell:99	CMLT1
COLO201	COLO201
COLO201_LARGE_INTESTINE	COLO201
COLO-201	COLO201
COLO 201	COLO201
CDDB:155	COLO201
ACH-000253	COLO201
idCell:100	COLO201
COLO205	COLO205
COLO205_LARGE_INTESTINE	COLO205
COLO-205	COLO205
CDDB:156	COLO205
ACH-001039	COLO205
idCell:101	COLO205
COLO320	COLO320
COLO320_LARGE_INTESTINE	COLO320
COLO-320	COLO320
CDDB:157	COLO320
ACH-000202	COLO320
idCell:102	COLO320
COLO668	COLO668
COLO668_LUNG	COLO668
COLO-668	COLO668
COLO 668	COLO668
CDDB:158	COLO668
ACH-000803	COLO668
idCell:103	COLO668
COLO677	COLO677
COLO677_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	COLO677
CDDB:159	COLO677
idCell:1057	COLO677
COLO678	COLO678
COLO678_LARGE_INTESTINE	COLO678
COLO-678	COLO678
CDDB:160	COLO678
ACH-000350	COLO678
idCell:104	COLO678
COLO679	COLO679
COLO679_SKIN	COLO679
COLO-679	COLO679
CDDB:161	COLO679
ACH-000805	COLO679
idCell:105	COLO679
COLO680N	COLO680N
COLO680N_OESOPHAGUS	COLO680N
COLO-680N	COLO680N
CDDB:162	COLO680N
ACH-000717	COLO680N
idCell:106	COLO680N
COLO684	COLO684
COLO684_ENDOMETRIUM	COLO684
COLO684_LUNG	COLO684
COLO-684	COLO684
COLO 684	COLO684
CDDB:163	COLO684
ACH-000864	COLO684
idCell:107	COLO684
COLO699	COLO699
COLO699_LUNG	COLO699
Colo699	COLO699
COLO-699	COLO699
CDDB:164	COLO699
ACH-001041	COLO699
idCell:971	COLO699
COLO704	COLO704
COLO704_OVARY	COLO704
COLO-704	COLO704
CDDB:165	COLO704
ACH-001042	COLO704
idCell:108	COLO704
COLO741	COLO741
COLO741_SKIN	COLO741
COLO-741	COLO741
COLO 741	COLO741
CDDB:166	COLO741
ACH-000582	COLO741
idCell:109	COLO741
COLO775	COLO775
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	COLO775
CDDB:167	COLO775
ACH-001043	COLO775
idCell:930	COLO775
COLO783	COLO783
COLO783_SKIN	COLO783
COLO-783	COLO783
CDDB:168	COLO783
ACH-000812	COLO783
idCell:110	COLO783
COLO792	COLO792
COLO792_SKIN	COLO792
COLO-792	COLO792
COLO 792	COLO792
CDDB:169	COLO792
ACH-000968	COLO792
idCell:831	COLO792
COLO800	COLO800
COLO800_SKIN	COLO800
COLO-800	COLO800
CDDB:170	COLO800
ACH-000401	COLO800
idCell:111	COLO800
COLO818	COLO818
COLO818_SKIN	COLO818
COLO-818	COLO818
CDDB:171	COLO818
ACH-001044	COLO818
idCell:112	COLO818
COLO829	COLO829
COLO829_SKIN	COLO829
COLO-829	COLO829
COLO 829	COLO829
CDDB:172	COLO829
ACH-000644	COLO829
idCell:113	COLO829
COLO849	COLO849
COLO849_SKIN	COLO849
COLO-849	COLO849
CDDB:173	COLO849
ACH-001045	COLO849
idCell:114	COLO849
CORL105	CORL105
CORL105_LUNG	CORL105
COR-L105	CORL105
CDDB:174	CORL105
ACH-000161	CORL105
idCell:832	CORL105
CORL23	CORL23
CORL23_LUNG	CORL23
COR-L23	CORL23
CDDB:175	CORL23
ACH-000662	CORL23
idCell:115	CORL23
CORL24	CORL24
CORL24_LUNG	CORL24
COR-L24	CORL24
CDDB:176	CORL24
ACH-000382	CORL24
idCell:987	CORL24
CORL26	CORL26
CORL26_LUNG	CORL26
CDDB:177	CORL26
idCell:1093	CORL26
CORL279	CORL279
CORL279_LUNG	CORL279
COR-L279	CORL279
CDDB:178	CORL279
ACH-000257	CORL279
idCell:116	CORL279
CORL311	CORL311
CORL311_LUNG	CORL311
COR-L311	CORL311
CDDB:179	CORL311
ACH-000187	CORL311
idCell:988	CORL311
CORL47	CORL47
CORL47_LUNG	CORL47
COR-L47	CORL47
CDDB:180	CORL47
ACH-000695	CORL47
idCell:989	CORL47
CORL51	CORL51
CORL51_LUNG	CORL51
COR-L51	CORL51
CDDB:181	CORL51
ACH-001047	CORL51
idCell:117	CORL51
CORL88	CORL88
CORL88_LUNG	CORL88
COR-L88	CORL88
CDDB:182	CORL88
ACH-000508	CORL88
idCell:118	CORL88
CORL95	CORL95
CORL95_LUNG	CORL95
COR-L95	CORL95
CDDB:183	CORL95
ACH-000743	CORL95
idCell:990	CORL95
COV318	COV318
COV318_OVARY	COV318
CDDB:184	COV318
ACH-000256	COV318
idCell:119	COV318
COV362	COV362
COV362_OVARY	COV362
CDDB:185	COV362
ACH-000278	COV362
idCell:824	COV362
COV434	COV434
COV434_OVARY	COV434
CDDB:186	COV434
ACH-000123	COV434
idCell:991	COV434
COV504	COV504
COV504_OVARY	COV504
CDDB:187	COV504
ACH-001048	COV504
idCell:120	COV504
COV644	COV644
COV644_OVARY	COV644
CDDB:188	COV644
ACH-000608	COV644
idCell:992	COV644
CPCN	CPCN
CPCN_LUNG	CPCN
CPC-N	CPCN
CDDB:189	CPCN
ACH-001049	CPCN
idCell:121	CPCN
CW2	CW2
CW2_LARGE_INTESTINE	CW2
CW-2	CW2
CDDB:190	CW2
ACH-000998	CW2
idCell:122	CW2
CW9019	CW9019
CW9019_SOFT_TISSUE	CW9019
CDDB:191	CW9019
ACH-001050	CW9019
D283	D283
D283_CENTRAL_NERVOUS_SYSTEM	D283
CDDB:192	D283
D283MED	D283MED
D283MED_CENTRAL_NERVOUS_SYSTEM	D283MED
D283 Med	D283MED
D-283MED	D283MED
CDDB:193	D283MED
ACH-000055	D283MED
idCell:123	D283MED
D341MED	D341MED
D341MED_CENTRAL_NERVOUS_SYSTEM	D341MED
D341_CENTRAL_NERVOUS_SYSTEM	D341MED
D341 Med	D341MED
D341	D341MED
CDDB:195	D341MED
ACH-000095	D341MED
idCell:124	D341MED
D384	D384
D384_CENTRAL_NERVOUS_SYSTEM	D384
CDDB:196	D384
ACH-001052	D384
D425	D425
D425_CENTRAL_NERVOUS_SYSTEM	D425
CDDB:197	D425
ACH-001053	D425
D458	D458
D458_CENTRAL_NERVOUS_SYSTEM	D458
CDDB:198	D458
ACH-001054	D458
D556	D556
D556_CENTRAL_NERVOUS_SYSTEM	D556
CDDB:199	D556
ACH-001055	D556
D8817	D8817
D8817_SOFT_TISSUE	D8817
CDDB:200	D8817
idCell:1104	D8817
DANG	DANG
DANG_PANCREAS	DANG
DAN-G	DANG
CDDB:201	DANG
ACH-000243	DANG
idCell:125	DANG
DAOY	DAOY
DAOY_CENTRAL_NERVOUS_SYSTEM	DAOY
Daoy	DAOY
CDDB:202	DAOY
ACH-000211	DAOY
idCell:126	DAOY
DAUDI	DAUDI
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DAUDI
Daudi	DAUDI
CDDB:203	DAUDI
ACH-000786	DAUDI
idCell:127	DAUDI
DB	DB
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DB
CDDB:204	DB
ACH-000334	DB
idCell:128	DB
DBTRG05MG	DBTRG05MG
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DBTRG05MG
DBTRG-05MG	DBTRG05MG
CDDB:205	DBTRG05MG
ACH-000863	DBTRG05MG
idCell:129	DBTRG05MG
DEL	DEL
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DEL
CDDB:206	DEL
ACH-000233	DEL
idCell:130	DEL
DERL7	DERL7
CDDB:207	DERL7
idCell:1014	DERL7
